Gene Symbol,gene_name,Direct Evidence,Inference Score
CYP2AA3,386638,,21.96
CYP4V8,558851,,21.96
DAAM1B,560060,,21.96
DAO.2,405800,,21.96
DEPDC4,120863,,21.96
DNMT3BB.1,317744,,21.96
ERAS,3266,,21.96
ERV3-1,2086,,21.96
ETV5B,30452,,21.96
FAM209B,388799,,21.96
FAM71E1,75538,,21.96
FKBP1AB,449552,,21.96
GTF2IRD2B,389524,,21.96
IGF1RA,245701,,21.96
LINC02693,339263,,21.96
LNP1,348801,,21.96
MIR1275,100302123,,21.96
NOL1,100380365,,21.96
NUAK1A,561563,,21.96
PKD1P1,339044,,21.96
RPL32P3,132241,,21.96
SAMD15,161394,,21.96
SCARNA9,619383,,21.96
SLC25A15B,565335,,21.96
SLC6A19A.1,553256,,21.96
SMR3A,26952,,21.96
SULT1ST6,436872,,21.96
SUMO4,387082,,21.96
TAS2R31,259290,,21.96
TRPM4A,100004946,,21.96
WDR97,340390,,21.96
ZFP770,228491,,21.96
ZFP92,139735,,21.96
ZNF571,51276,,21.96
ADAM30,11085,,21.95
MTLN,205251,,21.95
MZT2A,653784,,21.95
PPIEL,728448,,21.95
ZNF846,162993,,21.95
APOA4,337,,21.94
HMGB2,3148,,21.94
IL10,3586,,21.93
MPO,4353,,21.93
COX2,4513,,21.92
FOXA2,3170,,21.92
ITGA3,3675,,21.92
MTHFD1L,25902,,21.92
PYGM,5837,,21.92
AP2B1,163,,21.91
ACSL6,23305,,21.9
ANXA8,653145,,21.9
CAMP,820,,21.9
CISD1,55847,,21.9
CYP2D22,56448,,21.9
DRD5,1816,,21.9
ERMP1,79956,,21.9
FAM126B,285172,,21.9
GAR1,54433,,21.9
MAP3K12,7786,,21.9
MECR,51102,,21.9
MIPEP,4285,,21.9
MLC1,23209,,21.9
NDUFB3,4709,,21.9
PCDH9,5101,,21.9
RENBP,5973,,21.9
SH3D19,152503,,21.9
TOB2,10766,,21.9
YRDC,79693,,21.9
TGFB2,7042,,21.88
C1ORF21,81563,,21.87
DNAJC28,54943,,21.87
GTF2IRD2,84163,,21.87
KCND1,3750,,21.87
MTMR9,66036,,21.87
PCGF6,84108,,21.87
ZNF57,126295,,21.87
ASPRV1,151516,,21.86
LINC00597,81698,,21.86
PTGER2,5732,,21.86
SLC51B,123264,,21.86
ZG16B,124220,,21.86
ATP2B4,493,,21.85
RIPK1,8737,,21.85
SEMA3C,10512,,21.85
SOCS2,8835,,21.84
ALDOCB,369193,,21.82
ARHGAP5-AS1,84837,,21.82
ARR3,407,,21.82
BZW1B,406812,,21.82
CD1A,909,,21.82
CIBAR2,339145,,21.82
DLEU7,220107,,21.82
DLGAP1-AS2,84777,,21.82
EAR2,13587,,21.82
FAM227A,646851,,21.82
GJD3,125111,,21.82
IMPG1,3617,,21.82
KIAA1328,57536,,21.82
KRT42,68239,,21.82
LCE1C,353133,,21.82
LGALS2B,393486,,21.82
MAPK3,5595,,21.82
MIR202,574448,,21.82
MIR600HG,81571,,21.82
MIR9-1HG,10485,,21.82
OAZ2B,790945,,21.82
POMZP3,22932,,21.82
PRM3,58531,,21.82
PTHLH,5744,,21.82
RITA1,84934,,21.82
SEC14L5,9717,,21.82
TBXT,6862,,21.82
ZFP407,240476,,21.82
ZNF275,10838,,21.82
ZNF511,118472,,21.82
ZNF587,84914,,21.82
ZNF738,148203,,21.82
ZNF792,126375,,21.82
HBA-A1,15122,,21.81
SERPINE1,5054,,21.81
SLC16A12,387700,,21.81
ARMCX3,51566,,21.8
CETN3,1070,,21.8
CHAC2,494143,,21.8
DDX10,1662,,21.8
LACTB2,51110,,21.8
ND2,4536,,21.8
PRG4,10216,,21.8
PRR5L,79899,,21.8
SASH1,23328,,21.8
SLC27A3,11000,,21.8
SLC29A3,55315,,21.8
WASF2,10163,,21.8
WDFY3,23001,,21.8
WDR12,55759,,21.8
DPYSL3,1809,,21.79
NOL3,8996,,21.79
YWHAB,7529,,21.79
MAPK1,5594,,21.77
BRSK1,84446,,21.76
CAPS,828,,21.76
CCR10,2826,,21.76
CFTR,1080,,21.76
CRNDE,643911,,21.76
CSF2RB2,12984,,21.76
CSMD2,114784,,21.76
DCST1,149095,,21.76
DELE1,9812,,21.76
GPHA2,170589,,21.76
GPR171,29909,,21.76
KCNH6,81033,,21.76
KERA,11081,,21.76
KLRC1,3821,,21.76
KNG2,385643,,21.76
LRRC55,219527,,21.76
MSH4,4438,,21.76
NFKBIA,4792,,21.76
PRM2,5620,,21.76
SLAMF8,56833,,21.76
SUDS3,64426,,21.76
SULT6B1,391365,,21.76
THSD7B,80731,,21.76
TRAPPC8,22878,,21.76
UEVLD,55293,,21.76
UPK3B,105375355,,21.76
ZNF654,55279,,21.76
EEF2,1938,,21.74
TACR1,6869,,21.73
BLOC1S1,2647,,21.72
CHTF8,54921,,21.72
CKS1B,1163,,21.72
FOXP3,50943,,21.72
HEY1,23462,,21.72
IL36B,27177,,21.72
LGR6,59352,,21.72
LRRC4C,57689,,21.72
PRL2C3,18812,,21.72
PURG,29942,,21.72
RETNLG,245195,,21.72
RPL36,25873,,21.72
SAFB2,9667,,21.72
UBE2T,29089,,21.72
ZBTB20,26137,,21.72
ANAPC1,64682,,21.71
CDC27,996,,21.71
DOCK11,139818,,21.71
EHD3,30845,,21.71
FAM102A,399665,,21.71
FEM1A,55527,,21.71
GRAMD3,107022,,21.71
IGF2BP2,10644,,21.71
KDM6A,7403,,21.71
MPP3,4356,,21.71
NONO,4841,,21.71
OBSL1,23363,,21.71
RNASE1,6035,,21.71
TARBP2,6895,,21.71
TIMM8B,26521,,21.71
TREM2,54209,,21.71
TRIM14,9830,,21.71
UBR4,23352,,21.71
VAMP5,10791,,21.71
XPOT,11260,,21.71
GYG2,8908,,21.7
ATP5ME,521,,21.69
GLI2,2736,,21.66
LTBP1,4052,,21.66
SLIT2,9353,,21.66
TUBB,203068,,21.66
CDKN3,1033,,21.65
NCOA2,10499,,21.65
BAX,581,,21.64
AQP5,362,,21.62
BDKRB2,624,,21.62
CALCRL,10203,,21.62
CTF1,1489,,21.62
LAD1,3898,,21.62
LEP,3952,,21.62
PLPP1,8611,,21.62
TGFBR1,7046,,21.62
ADNP,23394,,21.61
APOBEC3B,9582,,21.61
BMP2K,55589,,21.61
ITGB3BP,23421,,21.61
MAP3K4,4216,,21.61
MBOAT1,154141,,21.61
PIK3AP1,118788,,21.61
RNF13,11342,,21.61
SARS1,6301,,21.61
TMEFF2,23671,,21.61
VRK1,7443,,21.61
ALDH1A7,26358,,21.6
CRISPLD2,83716,,21.59
EIF2A,83939,,21.59
NCDN,23154,,21.56
CR2,1380,,21.55
FRAT2,23401,,21.55
IRF7,3665,,21.55
LYRM9,201229,,21.55
PHOSPHO2,493911,,21.55
SHLD2,54537,,21.55
KIAA0319L,79932,,21.54
IFITM3,10410,,21.53
RXRG,6258,,21.53
EPS15,2060,,21.52
FAM114A1,92689,,21.52
HSPB7,27129,,21.52
IRF4,3662,,21.52
PCSK1,5122,,21.52
PLEK,5341,,21.52
PTPRB,5787,,21.52
RCN3,57333,,21.52
SLC2A12,154091,,21.52
SLC7A6,9057,,21.52
STEAP2,261729,,21.52
TCAP,8557,,21.52
TIMM9,26520,,21.52
TMOD1,7111,,21.52
TNFRSF14,8764,,21.52
TNRC6B,23112,,21.52
VEPH1,79674,,21.52
GLRX,2745,,21.51
SREBF1,6720,,21.5
ALG12,79087,,21.49
KLHL6,89857,,21.49
NOX1,27035,,21.48
AGO2,27161,,21.47
B2M,567,,21.47
GSN,2934,,21.47
KRT7,3855,,21.47
TCP1,6950,,21.47
ATP1B4,23439,,21.46
CASP3A,140621,,21.46
CEP295,85459,,21.46
CLRN3,119467,,21.46
CRPPA,729920,,21.46
CYB5A,1528,,21.46
CYP2D3,24303,,21.46
CYP2G1,13108,,21.46
DCAF12L2,340578,,21.46
DEUP1,159989,,21.46
GAL3ST2,64090,,21.46
GPR50,9248,,21.46
H2AC1,221613,,21.46
KLF9,687,,21.46
ODAD2,55130,,21.46
PODNL1,79883,,21.46
RAET1E,135250,,21.46
RD3,343035,,21.46
SELENBP2,20342,,21.46
TCEANC2,127428,,21.46
TNFRSF13C,115650,,21.46
TSEN34,79042,,21.46
TTLL9,164395,,21.46
S100B,6285,,21.45
TIMP1,7076,,21.45
ABCA3,21,marker/mechanism,21.43
ATXN3,4287,,21.43
CSF3R,1441,,21.43
CTSE,1510,,21.43
EBNA1BP2,10969,,21.43
HNRNPR,10236,,21.43
MICAL1,64780,,21.43
NMU,10874,,21.43
PLEKHA6,22874,,21.43
POLH,5429,,21.43
RBM5,10181,,21.43
SMARCE1,6605,,21.43
ACE2,59272,,21.42
MIR25,407014,,21.42
ALOX5AP,241,,21.41
BHLHE22,27319,,21.41
CDKL4,344387,,21.41
CYP1B1,1545,,21.41
CYP3A7,1551,,21.41
HDAC2,3066,,21.41
MIR136,406927,,21.41
MIR181D,574457,,21.41
MIR744,100126313,,21.41
PIK3CD,5293,,21.41
REN2,19702,marker/mechanism,21.41
SLC30A8,169026,,21.41
SPART,23111,,21.41
TRAPPC2L,51693,,21.41
WARS1,7453,,21.41
ZNF542P,147947,,21.41
APOD,347,,21.4
CBLIF,2694,,21.4
CCL15,6359,,21.4
CD300C2,140497,,21.4
CLEC4A2,26888,,21.4
CLIC4,25932,,21.4
CUTALP,253039,,21.4
CYP2C67,545288,,21.4
FSCN3,29999,,21.4
GEMIN2,8487,,21.4
GPAT2,150763,,21.4
GPR1,241070,,21.4
H2-M3,14991,,21.4
HIGD1B,51751,,21.4
HMX3,340784,,21.4
KRT12,3859,,21.4
MAPKBP1,23005,,21.4
MC3R,4159,,21.4
MIR708,100126333,,21.4
MMP27,64066,,21.4
MPZL3,196264,,21.4
MTHFSD,64779,,21.4
MTX2,10651,,21.4
MYH15,22989,,21.4
NCMAP,400746,,21.4
NOP9,161424,,21.4
OXGR1,27199,,21.4
PRR36,80164,,21.4
RDH1,107605,,21.4
RWDD3,25950,,21.4
SERPINB1B,282663,,21.4
SHMT2,6472,,21.4
SPAM1,6677,,21.4
SPOUT1,51490,,21.4
TMEM151B,441151,,21.4
TRP53BP1,27223,,21.4
TSC2,7249,,21.4
VAX1,11023,,21.4
XKR9,389668,,21.4
ZNF564,163050,,21.4
ZNF664,144348,,21.4
ZNF717,100131827,,21.4
MIR467C,100124487,,21.38
MIR378,100314258,,21.37
PRMT8B,564110,,21.37
SCAF4A,567501,,21.37
SREBF2,6721,,21.37
HSP-60,175316,,21.36
PSTPIP1A,571331,,21.36
C16ORF91,283951,,21.35
CALML5,51806,,21.35
CGA,1081,,21.35
CLEC3A,10143,,21.35
GRXCR1,389207,,21.35
H2,111364,,21.35
IGK,50802,,21.35
KRT84,3890,,21.35
LCN5,13863,,21.35
MIR488,574441,,21.35
MIR489,574442,,21.35
MIRLET7BHG,400931,,21.35
MUC5.2,572172,,21.35
NFE2L2B,100873093,,21.35
PHLPP,35178,,21.35
RDH2,107460,,21.35
SNORA49,677829,,21.35
SRARP,149563,,21.35
TMEM181C-PS,100040525,,21.35
WFDC6A,209351,,21.35
XRCC4,7518,,21.35
ZNF250,58500,,21.35
ZNF699,374879,,21.35
ABLIM1A,100003558,,21.34
AKR1D1,6718,,21.34
BOP1,23246,,21.34
C18ORF21,83608,,21.34
C7ORF31,136895,,21.34
C7ORF57,136288,,21.34
CATSPERB,79820,,21.34
CCIN,881,,21.34
CDC45,8318,,21.34
CDR1,1038,,21.34
COTL1,23406,,21.34
CPB2,1361,,21.34
CSPG4,1464,,21.34
DLST,1743,,21.34
FBXO5,26271,,21.34
GALNTL5,168391,,21.34
GDI2,2665,,21.34
GOLGA8IP,283796,,21.34
GRK6,2870,,21.34
GUCA1D,494573,,21.34
HEATR1,55127,,21.34
HIST1H2AF,498753,,21.34
HIST2H2L,386920,,21.34
IGFBP5B,403039,,21.34
KIAA0895L,653319,,21.34
KLHL38,340359,,21.34
LAMP1,3916,,21.34
LINCR,100195784,,21.34
LYPD8,646627,,21.34
MAMDC2,256691,,21.34
MBD1,4152,,21.34
MBNL3,55796,,21.34
MIR374A,442919,,21.34
NIN,51199,,21.34
NKX6-3,157848,,21.34
PDGFD,80310,,21.34
PHF19,26147,,21.34
PIRT,644139,,21.34
PMT,767699,,21.34
PRCD,768206,,21.34
PROC,5624,,21.34
PRP2L1,287750,,21.34
RDH10,157506,,21.34
SAMD9L,219285,,21.34
SERPINE3,647174,,21.34
SIAH3,283514,,21.34
SLC25A4,291,,21.34
SLC5A4B,64454,,21.34
SPATA3,130560,,21.34
SSMEM1,136263,,21.34
STC1L,393511,,21.34
STK24A,555297,,21.34
SYCE1L,100130958,,21.34
TARP,445347,,21.34
TLX3,30012,,21.34
TTTY14,83869,,21.34
ZBTB2A,393129,,21.34
ZFP287,170740,,21.34
ZFP428,232969,,21.34
ZFP511,69752,,21.34
ZFP524,66056,,21.34
ZNF2,7549,,21.34
ZNF233,353355,,21.34
ZNF391,346157,,21.34
ZNF566,84924,,21.34
HMOX,100528875,,21.33
SPINK14,408187,,21.33
KIAA1524,418410,,21.32
CSTDC5,100034684,,21.31
ESYT1B,571083,,21.31
OLFR1180,258920,,21.31
OLFR1388,258459,,21.31
RPS3A1,20091,,21.31
ASMTL-AS1,80161,,21.3
C5ORF58,133874,,21.3
LRRIQ4,344657,,21.3
MIR3911,100500872,,21.3
PPAN-P2RY11,692312,,21.3
RAB11B-AS1,100507567,,21.3
SCARNA12,677777,,21.3
SNORA10,574042,,21.3
SNORA25,684959,,21.3
SNORD74,619498,,21.3
SNORD75,692195,,21.3
TPMT.1,436842,,21.3
UFD1L,436724,,21.3
UQCC,100159291,,21.3
C8ORF74,203076,,21.29
EPHX5,322331,,21.29
H1-10-AS1,339942,,21.29
LAMC3,10319,,21.29
LINC00622,644242,,21.29
AVPR1A,552,,21.28
BAMBI,25805,,21.28
CPT2,1376,,21.28
CYB5R3,1727,,21.28
F7,2155,,21.28
GRB10,2887,,21.28
MAPKAPK2,9261,,21.28
ME1,4199,,21.28
NUF2,83540,,21.28
SPINK1,6690,,21.28
IGKC,3514,,21.27
NOS2A,404036,,21.27
ADAL,161823,,21.26
COL10A1,1300,,21.26
GPR135,64582,,21.26
TOMM70A,28185,,21.26
ZFP42,132625,,21.26
ALPI,248,,21.25
ANKRD45,339416,,21.25
APOL9A,223672,,21.25
ARID2,196528,,21.25
ARV1,64801,,21.25
ATF1,466,,21.25
ATP8A2,51761,,21.25
ATP8B4,79895,,21.25
CD22,933,,21.25
CDCA7L,55536,,21.25
CNGB1,1258,,21.25
COL21A1,81578,,21.25
DNAH17,8632,,21.25
FFAR2,2867,,21.25
FRMD4B,23150,,21.25
INF2,64423,,21.25
LAYN,143903,,21.25
LRRN3,54674,,21.25
MIR130A,406919,,21.25
MRPL58,3396,,21.25
MRPS11,64963,,21.25
NAP1L3,4675,,21.25
PIGZ,80235,,21.25
SLC66A3,130814,,21.25
STXBP6,29091,,21.25
TCIM,56892,,21.25
TMEM140,55281,,21.25
TP53TG1,11257,,21.25
TRIM63,84676,,21.25
TUBA8,51807,,21.25
UROD,7389,,21.25
UTP11,51118,,21.25
YPEL3,83719,,21.25
ZFP367,238673,,21.25
PSMG3-AS1,114796,,21.24
GGT1,2678,,21.23
CCL3,6348,,21.22
MCM10,55388,,21.22
TP63,8626,,21.22
WT1,7490,,21.22
CYP3A23-3A1,25642,,21.18
KCNK2,3776,,21.17
AADAC,13,,21.16
AKAP2,298024,,21.16
ALG11,440138,,21.16
CA5B,11238,,21.16
CDT1,81620,,21.16
CLIC3,9022,,21.16
DNAJC2,27000,,21.16
DSCC1,79075,,21.16
ENKD1,84080,,21.16
ENPP7,339221,,21.16
FAM210B,116151,,21.16
FANCD2,2177,,21.16
FECH,2235,,21.16
FHIP1B,84067,,21.16
GSDMA,284110,,21.16
IRF5,3663,,21.16
ITPR3,3710,,21.16
LIMK1,3984,,21.16
LINGO2,158038,,21.16
LPAR5,57121,,21.16
LRFN4,78999,,21.16
MCC,4163,,21.16
NCL,4691,,21.16
OTUB2,78990,,21.16
PABPC4,8761,,21.16
POLR1G,10849,,21.16
PSMB8,5696,,21.16
PSTK,118672,,21.16
RAG2,5897,,21.16
RNASE2,6036,,21.16
SEMA7A,8482,,21.16
SNX20,124460,,21.16
SPAG5,10615,,21.16
SSNA1,8636,,21.16
STARD10,10809,,21.16
TAF2,6873,,21.16
TIMD4,91937,,21.16
TNFSF9,8744,,21.16
TPBG,7162,,21.16
TRIP13,9319,,21.16
EGLN3,112399,,21.14
F2R,2149,,21.14
FGB,2244,,21.14
CYP2A13,1553,,21.13
DHX35,60625,,21.12
AKR1C1,1645,,21.11
ANAPC16,119504,,21.11
AP3B2,8120,,21.11
CCDC167,154467,,21.11
CEP43,11116,,21.11
DNHD1,144132,,21.11
FAN1,22909,,21.11
RANGRF,29098,,21.11
SNAI3,333929,,21.11
ALDH1B1,219,,21.1
CACNG6,59285,,21.1
CAPN2,824,,21.1
CHAC1,79094,,21.1
IFI27,3429,,21.1
USP18,11274,,21.1
CD151,977,,21.08
ACP1,52,,21.07
CDH17,1015,,21.07
CPN1,1369,,21.07
DNER,92737,,21.07
PPFIBP2,8495,,21.07
PRRX1,5396,,21.07
RPS24,6229,,21.07
RTN4RL1,146760,,21.07
SCAMP1,9522,,21.07
SLC23A1,9963,,21.07
TLE3,7090,,21.07
TNFRSF10D,8793,,21.07
TOLLIP,54472,,21.07
SLC22A2,6582,,21.06
RETN,56729,,21.05
ARHGDIB,397,,21.04
CAPN1,823,,21.04
CDCA8,55143,,21.04
ITGB5,3693,,21.04
NR3C1,2908,,21.04
ADGRA2,25960,,21.03
ATP4A,495,,21.03
ATP8B3,148229,,21.03
CD248,57124,,21.03
CNTN4,152330,,21.03
MACC1,346389,,21.03
RT1-EC2,24737,,21.03
HIST1H2BQ,306945,,21.02
UST4R,171397,,21.02
ACPP,56318,,21.01
ALLC,55821,,21.01
ATP5MC2,517,,21.01
C1RA,50909,,21.01
C7ORF50,84310,,21.01
CLEC2G,70809,,21.01
CLEC2L,154790,,21.01
CNGA3,1261,,21.01
DNAH14,127602,,21.01
DPEP3,64180,,21.01
FAM219B,57184,,21.01
FBXW17,109082,,21.01
H2BC12L,54145,,21.01
H4C5,8367,,21.01
HSP90AA1.1,30591,,21.01
IGHA,238447,,21.01
KRT76,51350,,21.01
KRT85,3891,,21.01
LRRC36,55282,,21.01
LRRC66,339977,,21.01
NKAPD1,55216,,21.01
NPIPB3,23117,,21.01
RATNP-3B,498659,,21.01
S100Z,170591,,21.01
SH2D4B,387694,,21.01
SPATC1L,84221,,21.01
SUPT20,56790,,21.01
TDRD9,122402,,21.01
TMPRSS11D,9407,,21.01
TRIM50,135892,,21.01
ZFP185,22673,,21.01
ZFP346,26919,,21.01
ZFP462,242466,,21.01
ABHD6,57406,,20.99
C8A,731,,20.99
CD28,940,,20.99
CDK14,5218,,20.99
EHD2,30846,,20.99
GALNT1,2589,,20.99
GSTP1,2950,,20.99
HPN,3249,,20.99
LSR,51599,,20.99
MMP15,4324,,20.99
NME4,4833,,20.99
NTN4,59277,,20.99
SKA1,220134,,20.99
SMIM3,85027,,20.99
USP5,8078,,20.99
COL11A1,1301,,20.98
GPR157,80045,,20.98
GUK1,2987,,20.98
MYO1B,4430,,20.98
OGDH,4967,,20.98
TNFRSF19,55504,,20.98
ULK1,8408,,20.98
ASIC3,9311,,20.97
CTRL,1506,,20.97
DNAAF2,55172,,20.97
DTNBP1,84062,,20.97
EGR2,1959,,20.97
MED7,9443,,20.97
MRPS16,51021,,20.97
NIM1K,167359,,20.97
OXNAD1,92106,,20.97
RT1-DMA,294274,,20.97
TIGD2,166815,,20.97
VPS54,51542,,20.97
ZNF385B,151126,,20.97
ADSS1,122622,,20.96
C2ORF76,130355,,20.96
NAMPT,10135,,20.96
NBEA,26960,,20.96
NPHS2,7827,,20.96
SHPRH,257218,,20.96
SLC38A9,153129,,20.96
TOR4A,54863,,20.96
ZNF623,9831,,20.96
ABCB11,8647,,20.94
FHL1,2273,,20.93
GSTT1,2952,,20.93
MSN,4478,,20.93
NT5E,4907,,20.93
PADI4,23569,,20.93
SCP2,6342,,20.93
C1QA,712,,20.92
ID4,3400,,20.92
IRF1,3659,,20.92
SERPING1,710,,20.92
SLC19A1,6573,,20.92
SPC25,57405,,20.92
ADAM12,8038,,20.91
CAP2,10486,,20.91
CIITA,4261,,20.91
SMC3,9126,,20.91
ADCY1,107,,20.9
ADCY3,109,,20.9
ATP6V0A1,535,,20.9
CFL2,1073,,20.9
EBI3,10148,,20.9
GTPBP4,23560,,20.9
KANK1,23189,,20.9
KDM5B,10765,,20.9
MOV10,4343,,20.9
PPARA,5465,,20.9
PRKCI,5584,,20.9
PRRC2C,23215,,20.9
RHBDF1,64285,,20.9
TNFSF12,8742,,20.9
ALX1,8092,,20.88
ARL14,80117,,20.88
ARL5C,390790,,20.88
CDHR2,54825,,20.88
CGAS,115004,,20.88
CLEC1B,51266,,20.88
DYDC2,84332,,20.88
H3C6,8353,,20.88
HSBP1L1,440498,,20.88
IGHG1,3500,,20.88
MEIOB,254528,,20.88
MRPL21,219927,,20.88
PHOX2A,401,,20.88
POP4,10775,,20.88
PPP1R3A,5506,,20.88
SEBOX,645832,,20.88
SYAP1,94056,,20.88
TP53RK,112858,,20.88
TRAPPC13,80006,,20.88
YPEL4,219539,,20.88
ZFP280D,235469,,20.88
NTS,4922,,20.87
ANLN,54443,,20.86
CYBA,1535,,20.85
MIR130A,406919,,20.85
ATP5C1,11949,,20.84
MRPS2,51116,,20.84
CRLF3,51379,,20.83
CTR9,9646,,20.83
MFSD10,10227,,20.83
ORAI2,80228,,20.83
PPM1M,132160,,20.83
RMND1,55005,,20.83
RNF112,7732,,20.83
SCRG1,11341,,20.83
TBL2,26608,,20.83
APLNR,187,,20.82
COL13A1,1305,,20.82
FRMD6,122786,,20.82
HMGN3,9324,,20.82
MPG,4350,,20.82
ND1,4535,,20.82
RPS14,6208,,20.82
SCG2,7857,,20.82
SULT1A1,6817,,20.82
TLR5,7100,,20.82
VASN,114990,,20.82
WNT11,7481,,20.82
ARRDC3,57561,,20.81
COX4I1,1327,,20.81
KNG1,3827,,20.81
NANP,140838,,20.81
XCR1,2829,,20.81
CDH1,999,,20.8
APOA4B.1,322543,,20.79
DAT,36849,,20.79
GUCY2G,73707,,20.79
MIR302A,407028,,20.79
PPP3R2,5535,,20.79
SLC2A7,155184,,20.79
SOD2,6648,,20.79
ZNF16,7564,,20.79
ZNF468,90333,,20.79
ACP4,93650,,20.78
ALDOAA,336425,,20.78
ATP1A3A,64610,,20.78
ATP2A2,488,,20.78
C17ORF58,284018,,20.78
CASP3,836,,20.78
CEBPZOS,100505876,,20.78
FAM187B,148109,,20.78
FAM71F2,245884,,20.78
FBXL21P,26223,,20.78
FCAMR,83953,,20.78
FRMPD2,143162,,20.78
H1-6,3010,,20.78
H2-EA,100504404,,20.78
IGFL1,374918,,20.78
KLRB1B,80782,,20.78
LRRC63,220416,,20.78
NTAQ1,55093,,20.78
PGLYRP4,57115,,20.78
RSPH6A,81492,,20.78
RT1-T24-1,361787,,20.78
S100A10B,406276,,20.78
SBK2,646643,,20.78
SCARNA2,677766,,20.78
SNORD89,692205,,20.78
SPATA1,100505741,,20.78
SYT16,83851,,20.78
THUMPD3-AS1,440944,,20.78
TLDC2,140711,,20.78
UTP14B,195434,,20.78
WASHC2A,387680,,20.78
WDFY3-AS2,404201,,20.78
WDYHV1,76773,,20.78
ZNF18,7566,,20.78
ZNF320,162967,,20.78
ZNF398,57541,,20.78
ZNF404,342908,,20.78
ZNF764,92595,,20.78
ZNF845,91664,,20.78
ZNF875,284459,,20.78
UCP1,7350,,20.77
A2M,2,,20.75
CHRNA4,1137,,20.75
EIF5,1983,,20.75
GSTT2,2953,,20.75
ANGPTL2,23452,,20.74
CHRNA5,1138,,20.74
COQ10B,80219,,20.74
GCAT,23464,,20.74
GMFB,2764,,20.74
IPO4,79711,,20.74
PLP2,5355,,20.74
PTER,9317,,20.74
PTPN13,5783,,20.74
RAD18,56852,,20.74
RASGRP3,25780,,20.74
STAG2,10735,,20.74
TRIM59,286827,,20.74
DPP7,29952,,20.73
SLC22A11,55867,,20.73
STAT3,6774,,20.73
CYP26A1,1592,,20.71
SERPINA1,5265,,20.71
SLC22A1,6580,,20.71
SYT3,84258,,20.71
CHML,1122,,20.7
DHX33,56919,,20.7
GABRB2,2561,,20.7
GLRX5,51218,,20.7
KATNAL1,84056,,20.7
MEDAG,84935,,20.7
MRPL16,54948,,20.7
MRPL40,64976,,20.7
MRPL52,122704,,20.7
MRPL54,116541,,20.7
PWP1,11137,,20.7
RFXANK,8625,,20.7
RHOT1,55288,,20.7
SPAG6,9576,,20.7
TEX261,113419,,20.7
ADRB1,153,,20.69
DOLK,22845,,20.69
HOXD3,3232,,20.69
POFUT1,23509,,20.69
RDH14,57665,,20.69
SERGEF,26297,,20.69
ZNF148,7707,,20.69
DPEP1,1800,,20.66
MLEC,9761,,20.66
MYO1E,4643,,20.66
SUCLG1,8802,,20.66
TNFSF14,8740,,20.66
TRAF4,9618,,20.66
WIF1,11197,,20.66
FERMT1,55612,,20.65
FXN,2395,,20.65
GATA4,2626,,20.65
H2BC21,8349,,20.65
HSPE1,3336,,20.65
SCG5,6447,,20.65
SERINC2,347735,,20.65
UBQLN1,29979,,20.65
UCHL1,7345,,20.65
BCL2A,570772,,20.64
C3ORF14,57415,,20.64
CACUL1,143384,,20.64
CBWD1,55871,,20.64
CFAP161,161502,,20.64
CLDN16,10686,,20.64
CYP4F39,320997,,20.64
DISP3,57540,,20.64
DNAI7,55259,,20.64
EFCAB3,146779,,20.64
GBGT1,26301,,20.64
GPATCH1,55094,,20.64
KCNA6,3742,,20.64
KRT24,192666,,20.64
MIR351,723910,,20.64
MIR411,693121,,20.64
MMP13A,387293,,20.64
MYCN,4613,,20.64
NKPD1,284353,,20.64
OMP,4975,,20.64
PCDHA1,56147,,20.64
PCDHA6,56142,,20.64
PGBD1,84547,,20.64
PIK3R3A,406311,,20.64
RGD1309362,307415,,20.64
RIC1,57589,,20.64
SANBR,84542,,20.64
SH2D1A,4068,,20.64
SHHA,30269,,20.64
SLC25A2,83884,,20.64
SNX32,254122,,20.64
SOHLH1,402381,,20.64
TNFRSF26,244237,,20.64
TTI2,80185,,20.64
XKR7,343702,,20.64
ZBTB47,92999,,20.64
ZFP612,234725,,20.64
ZNF551,90233,,20.64
ZNF597,146434,,20.64
ZPBP,11055,,20.64
ZSCAN22,342945,,20.64
ABCB1B,18669,,20.63
S100A6,6277,,20.62
ACER1,125981,,20.61
ALKBH1,8846,,20.61
C12ORF57,113246,,20.61
CYP4F1,56266,,20.61
HC,15139,,20.61
KLRG2,346689,,20.61
PKD2L1,9033,,20.61
PKHD1,5314,,20.61
TXK,7294,,20.61
GANAB,23193,,20.6
GJA5,2702,,20.6
TRAPPC2,6399,,20.6
FCGR1,14129,,20.59
GPR17,2840,,20.59
HLA-DPB1,3115,,20.59
PNLIPRP2,5408,,20.59
SF3A3,10946,,20.59
TCTA,6988,,20.59
ACTN4,81,,20.58
CD4,920,,20.58
CYP26B1,56603,,20.58
FRMD4A,55691,,20.58
G2E3,55632,,20.58
HES5,388585,,20.58
IDH3A,3419,,20.58
MAP3K8,1326,,20.58
TNFRSF8,943,,20.58
BRMS1L,84312,,20.57
CAPN15,6650,,20.57
CD79B,974,,20.57
CENPS,378708,,20.57
CRCP,27297,,20.57
MAGI1,9223,,20.57
MBOAT2,129642,,20.57
MCTP1,79772,,20.57
MRPL22,29093,,20.57
NOL9,79707,,20.57
NXF1,10482,,20.57
POMT1,10585,,20.57
PRMT5,10419,,20.57
RPA3,6119,,20.57
SON,6651,,20.57
