DCC_ID	Name	CAS_Number	BindingDB	ChEBI	DrugBank	KEGG Compound	KEGG Drug	PDB	PharmGKB	PubChem Compound	PubChem Substance
DCC1235	Chlorambucil	CAS:305-03-3	null	28830	DB00291	null	D00266	null	PA448926	2708	46506842
DCC1238	Ropivacaine	CAS:84057-95-4	null	null	DB00296	C07532	null	null	PA451271	null	null
DCC1314	Methoxsalen	CAS:298-81-7	null	18358	DB00553	C01864	D00139	8MO	PA450433	4114	46506275
DCC1321	Vinblastine	CAS:865-21-4	50012278	27375	DB00570	C07201	null	KAR	PA451877	241903	46504550
DCC1328	Labetalol	CAS:36894-69-6	25758	6343	DB00598	C07063	null	null	PA164743150	3869	46505511
DCC1329	Thiopental	CAS:76-75-5	null	102166	DB00599	C07521	null	null	PA451664	3000715	46504621
DCC1330	Ivermectin	CAS:70288-86-7	null	null	DB00602	C07970	D00804	null	PA450133	46936176	46506810
DCC1380	Riluzole	CAS:1744-22-5	30705	null	DB00740	C07937	D00775	null	PA451251	5070	46508094
DCC1381	Mannitol	CAS:69-65-8	50142798	16899	DB00742	C00392	D00062	AHM	PA450320	null	null
DCC1384	Deferoxamine	CAS:70-51-9	null	4356	DB00746	C06940	D03670	null	PA164746490	2973	46506395
DCC1386	Etodolac	CAS:41340-25-4	50016799	4909	DB00749	null	D00315	null	PA449550	3308	46505184
DCC1161	Anti-thymocyte globulin	null	null	null	DB00098	null	null	null	PA164743704	null	null
DCC1162	Filgrastim	CAS:121181-53-1	null	null	DB00099	null	D03235	null	PA449626	null	null
DCC1164	Octreotide	CAS:83150-76-9	50175592	null	DB00104	C07306	D00442	null	PA450678	null	null
DCC1165	Interferon alfa-2b	CAS:99210-65-8	null	null	DB00105	null	null	null	PA164783990	null	null
DCC1149	Basiliximab	CAS:152923-56-3	null	null	DB00074	null	null	null	PA164747126	null	null
DCC1160	Pregnyl	CAS:177073-44-8	null	null	DB00097	null	null	null	PA164783947	null	null
DCC1239	Floxacillin	CAS:5250-39-5	null	5098	DB00301	C11748	D04196	null	PA164781042	21319	46508276
DCC1240	Ertapenem	CAS:153832-46-3	null	404903	DB00303	null	D07908	null	PA164777032	150610	46506508
DCC1241	Desogestrel	CAS:54024-22-5	null	4453	DB00304	C07629	D02367	null	PA449238	40973	46505739
DCC1242	Bexarotene	CAS:153559-49-0	null	50859	DB00307	null	null	null	PA164752250	82146	46509119
DCC1332	Nafcillin	CAS:985-16-0	null	7447	DB00607	C07250	null	NFN	PA450576	8982	46508100
DCC1333	Chloroquine	CAS:54-05-7	22985	3638	DB00608	C07625	D02366	CLQ	PA448948	2719	46506925
DCC1334	Furazolidone	CAS:67-45-8	null	5195	DB00614	C07999	D00830	null	PA164746760	5323714	46507291
DCC1335	Methyltestosterone	CAS:58-18-4	null	27436	DB06710	C07198	D00408	null	PA165958383	null	null
DCC1390	Clopidogrel	CAS:113665-84-2	null	37941	DB00758	null	D00769	null	PA449053	null	null
DCC1393	Mometasone	CAS:105102-22-5	null	6970	DB00764	C07816	null	MOF	PA450541	null	null
DCC1395	Alprostadil	CAS:745-65-3	null	15544	DB00770	C04741	D00180	null	PA448334	5280723	46508029
DCC1181	Creatine	CAS:57-00-1	null	16919	DB00148	C00300	null	CRN	PA164778930	586	46504868
DCC1166	Oxytocin	CAS:50-56-6	null	null	DB00107	C00746	D00089	null	PA450760	null	null
DCC1172	Arginine hydrochloride	CAS:74-79-3	21959	16467	DB00125	C00062	D02982	ARG	PA448478	6322	46507180
DCC1246	Fluorometholone	CAS:426-13-1	null	null	DB00324	null	D01367	null	PA164781355	9878	46505984
DCC1247	Hydromorphone	CAS:466-99-9	null	5790	DB00327	C07042	null	null	PA449918	5284570	46508700
DCC1244	Pentobarbital	CAS:76-74-4	null	7983	DB00312	C07422	D00499	null	PA450859	4737	46508399
DCC1245	Floxuridine	CAS:50-91-9	50042595	60761	DB00322	C11736	D04197	null	PA449652	5790	46508645
DCC1336	Alendronate	CAS:66376-36-1	25313	2567	DB00630	C07752	null	AHD	PA448082	2088	46507199
DCC1338	Adenosine	CAS:58-61-7	null	16335	DB00640	C00212	D00045	101	PA448049	60961	46508728
DCC1339	Mebendazole	CAS:31431-39-7	null	6704	DB00643	null	D00368	null	PA164776669	4030	46508807
DCC1345	Acamprosate	CAS:77337-76-9	null	51041	DB00659	null	D02780	null	PA10344	71158	46506657
DCC1396	Tirofiban	CAS:144494-65-5	null	9605	DB00775	C07965	null	AGG	PA451698	60947	46504678
DCC1399	Sulfasalazine	CAS:599-79-1	null	9334	DB00795	C07316	D00448	SAS	PA451547	5359476	46505451
DCC1400	Tazarotene	CAS:118292-40-3	null	32184	DB00799	C12531	D01132	null	PA164746821	5381	46508992
DCC1407	Tadalafil	CAS:171596-29-5	14777	null	DB00820	null	D02008	CIA	PA10333	110635	46507646
DCC1411	Mifepristone	CAS:84371-65-3	18627	50692	DB00834	C07652	D00585	486	PA450500	55245	46505795
DCC1182	Vitamin D	CAS:50-14-6	null	28934	DB00153	C05441	D00187	null	PA449484	5280793	46505053
DCC1183	Folic acid	CAS:59-30-3	null	27470	DB00158	C00504	D00070	FOL	PA449692	6037	46508092
DCC1188	Pyridoxine	CAS:65-23-6	null	16709	DB00165	C00314	null	null	PA451897	1054	46508560
DCC1249	Pimecrolimus	CAS:137071-32-0	null	null	DB00337	null	null	null	PA164783790	17753757	46505748
DCC1252	Clobazam	CAS:22316-47-8	null	31413	DB00349	null	D01253	null	PA10888	2789	46506115
DCC1256	Sulfadiazine	CAS:68-35-9	null	9328	DB00359	C07658	D00587	null	PA451539	5215	46506164
DCC1258	Doxylamine succinate	CAS:469-21-6	null	51380	DB00366	null	D02327	null	PA449419	3162	46506354
DCC1259	Norepinephrine	CAS:51-41-2	null	18357	DB00368	C00547	D00076	LNR	PA450649	439260	46506201
DCC1347	Sulfalene	CAS:152-47-6	null	null	DB00664	C12616	D01216	null	PA164747038	9047	46505111
DCC1351	Aprepitant	CAS:170729-80-3	null	499361	DB00673	null	null	null	PA164747039	null	null
DCC1353	Midazolam	CAS:59467-70-8	21363	null	DB00683	C07524	D00550	null	PA450496	4192	46507611
DCC1354	Fludrocortisone	CAS:127-31-1	null	50885	DB00687	C07004	null	null	PA164743961	31378	46508616
DCC0152	Niacin	CAS:59-67-6	23515	15940	DB00627	C00253	D00049	NIO	PA450617	938	46507508
DCC0153	Clofarabine	CAS:123318-82-1	null	681569	DB00631	null	null	CFB	PA164754863	119182	46504968
DCC0154	Dexmedetomidine	CAS:113775-47-6	null	4466	DB00633	C07450	D00514	null	PA449256	null	null
DCC0155	Sulfacetamide	CAS:144-80-9	null	63845	DB00634	null	D05947	null	PA451536	5320	46504544
DCC0184	Hydrocortisone	CAS:50-23-7	22476	17650	DB00741	C00735	D00088	PDN	PA449905	5754	46505089
DCC0185	Prilocaine	CAS:721-50-6	50017654	8404	DB00750	C07531	D00553	null	PA451101	4906	46505066
DCC0186	Tretinoin	CAS:302-79-4	null	15367	DB00755	C00777	D00094	null	PA451746	444795	46504843
DCC0213	Perphenazine	CAS:58-39-9	null	8028	DB00850	C07427	D00503	null	PA450882	4748	46507058
DCC0214	Pseudoephedrine	CAS:90-82-4	null	51209	DB00852	null	null	null	PA451170	7028	46508190
DCC0215	Temozolomide	CAS:85622-93-1	50034562	null	DB00853	null	null	null	PA451609	5394	46507934
DCC0240	Aspirin	CAS:50-78-2	22360	15365	DB00945	C01405	D00109	AIN	PA448497	2244	46505803
DCC0241	Fexofenadine	CAS:83799-24-0	22874	5050	DB00950	C06999	null	null	PA449621	3348	46504676
DCC0242	Isoniazid	CAS:54-85-3	null	6030	DB00951	C07054	D00346	ISZ	PA450112	3767	46506039
DCC0362	Fusidic Acid	CAS:6990-06-3	null	29013	DB02703	C06694	D04281	FUA	PA164749648	3000226	46505364
DCC0156	Prednisone	CAS:53-03-2	null	8382	DB00635	C07370	D00473	null	PA451100	5865	46508166
DCC0244	Norgestimate	CAS:35189-28-7	null	50815	DB00957	null	D05209	null	PA164744346	6540478	46507381
DCC0245	Carboplatin	CAS:41575-94-4	null	31355	DB00958	null	D01363	null	PA448803	38904	46507170
DCC0187	Tetracycline	CAS:60-54-8	null	27902	DB00759	C06570	D00201	ATC	PA451640	5280962	46506693
DCC0247	Telmisartan	CAS:144701-48-4	null	9434	DB00966	C07710	D00627	null	PA451605	65999	46505370
DCC0248	Desloratadine	CAS:100643-71-8	50073179	291342	DB00967	null	null	null	PA164776964	124087	46507996
DCC0249	Methyldopa	CAS:555-30-6	null	61058	DB00968	C07194	D08205	null	PA450453	38853	46508535
DCC0216	Prednisolone	CAS:50-24-8	19190	8378	DB00860	C07369	D00472	null	PA451096	5755	46504847
DCC0251	Dipyridamole	CAS:58-32-2	23620	4653	DB00975	null	D00302	null	PA449367	3108	46506292
DCC0252	Ethinyl Estradiol	CAS:57-63-6	null	4903	DB00977	C07534	D00554	null	PA449527	5991	46508618
DCC0253	Lomefloxacin	CAS:98079-51-7	50240373	116278	DB00978	C07078	D02318	null	PA164749165	3948	46508499
DCC0243	Hydrocodone	CAS:125-29-1	null	5779	DB00956	C08024	null	null	PA449900	5284569	46506225
DCC0255	Formoterol	CAS:73573-87-2	null	null	DB00983	C07805	null	null	PA134687907	3410	46507099
DCC0256	Cytarabine	CAS:147-94-4	null	28680	DB00987	C02961	D00168	AR3	PA449177	6253	46505879
DCC0246	Mepivacaine	CAS:96-88-8	null	6759	DB00961	C07528	null	null	PA164748741	4062	46507857
DCC0259	Doxorubicin	CAS:23214-92-8	22984	28748	DB00997	C01661	D03899	null	PA449412	31703	46507641
DCC0260	Hydrochlorothiazide	CAS:58-93-5	13076	null	DB00999	null	D00340	null	PA449899	null	null
DCC0250	Ezetimibe	CAS:163222-33-1	null	49040	DB00973	null	D01966	null	PA10816	150311	46507625
DCC0262	Ganciclovir	CAS:82410-32-0	null	465284	DB01004	null	D00333	GA2	PA449733	3454	46507294
DCC0263	Hydroxyurea	CAS:127-07-1	null	5816	DB01005	C07044	D00341	null	PA449942	3657	46506927
DCC0264	Letrozole	CAS:112809-51-5	13061	6413	DB01006	C08163	D00964	null	PA450196	3902	46504610
DCC0254	Cyclopentolate	CAS:512-15-2	null	4024	DB00979	C06932	null	null	PA164743019	2905	46504517
DCC0266	Sulfamethoxazole	CAS:723-46-6	null	9332	DB01015	C07315	D00447	null	PA451544	5329	46508111
DCC0267	Glyburide	CAS:10238-21-8	null	5441	DB01016	C07022	D00336	null	PA449782	3488	46509154
DCC0268	Minocycline	CAS:10118-90-8	50046515	50694	DB01017	C07225	D05045	null	PA450519	null	null
DCC0257	Neomycin	CAS:1404-04-2	null	7507	DB00994	C00384	null	CNY	PA450608	8378	46505525
DCC0258	Gabapentin	CAS:60142-96-3	null	null	DB00996	null	D00332	GBN	PA449720	3446	46506529
DCC0270	Irbesartan	CAS:138402-11-6	null	5959	DB01029	C07469	D00523	null	PA450084	3749	46506575
DCC0261	Salbutamol	CAS:18559-94-9	25769	2549	DB01001	null	D02147	null	PA448068	2083	46505312
DCC0273	Mercaptopurine	CAS:50-44-2	50200098	2208	DB01033	C02380	D04931	null	PA450379	667490	46506988
DCC0274	Cerulenin	CAS:17397-89-6	null	171741	DB01034	C12058	null	CER	PA164764551	5282054	46508217
DCC0275	Procainamide	CAS:51-06-9	null	8428	DB01035	C07401	null	null	PA451108	4913	46507313
DCC0276	Fenofibrate	CAS:49562-28-9	null	5001	DB01039	C07586	D00565	null	PA449594	3339	46507371
DCC0265	Ketoprofen	CAS:22071-15-4	null	6128	DB01009	C01716	D00132	null	PA450149	3825	46505715
DCC0278	Melphalan	CAS:148-82-3	50038356	28876	DB01042	null	D00369	null	PA450354	null	null
DCC0279	Gatifloxacin	CAS:112811-59-3	null	5280	DB01044	C07661	null	null	PA449738	5379	46506159
DCC0280	Rifampin	CAS:13292-46-1	null	28077	DB01045	C06688	D00211	null	PA451250	null	null
DCC0281	Abacavir	CAS:136470-78-5	null	2360	DB01048	C07624	D07057	null	PA448004	441300	46505718
DCC0269	Felodipine	CAS:72509-76-3	50017710	585948	DB01023	null	D00319	null	PA449591	3333	46506968
DCC0283	Nitrendipine	CAS:39562-70-4	50012016	null	DB01054	C07713	D00629	null	PA146096020	4507	46508817
DCC0284	Praziquantel	CAS:55268-74-1	null	null	DB01058	C07367	D00471	PZQ	PA164764583	4891	46507082
DCC0271	Topotecan	CAS:119413-54-6	null	null	DB01030	C11158	null	TTC	PA451729	60700	46505204
DCC0272	Probenecid	CAS:57-66-9	null	null	DB01032	C07372	D00475	null	PA451106	4911	46506554
DCC0286	Glipizide	CAS:29094-61-9	50012956	null	DB01067	null	D00335	null	PA449762	3478	46505865
DCC0287	Promethazine	CAS:60-87-7	null	8461	DB01069	C07404	D00494	null	PA451128	4927	46507798
DCC0277	Thalidomide	CAS:50-35-1	50070114	null	DB01041	C07910	D00754	null	PA451644	5426	46505665
DCC0344	Cefepime	CAS:88040-23-7	null	478164	DB01413	C08111	D02376	null	PA164754876	5479537	46507919
DCC0345	Gamma Hydroxybutyric Acid	CAS:591-81-1	null	16724	DB01440	C00989	null	null	PA10819	3037032	46507548
DCC0346	Dihydrocodeine	CAS:125-28-0	null	null	DB01551	C08024	D01481	null	PA449322	5284543	46506478
DCC0282	Ibuprofen	CAS:15687-27-1	null	5855	DB01050	C01588	D00126	IBP	PA449957	3672	46507255
DCC0289	Diphenhydramine	CAS:58-73-1	null	4636	DB01075	null	D00300	2PM	PA449349	3100	46505484
DCC0290	Atorvastatin	CAS:134523-00-5	22164	2910	DB01076	C06834	D07474	117	PA448500	null	null
DCC0291	Diphenoxylate	CAS:915-30-0	null	null	DB01081	null	D00301	null	PA164746539	13505	46507130
DCC0285	Amoxicillin	CAS:26787-78-0	null	2676	DB01060	C06827	null	null	PA448406	33613	46507578
DCC0318	Clarithromycin	CAS:81103-11-9	null	3732	DB01211	C06912	D00276	null	PA449028	null	null
DCC0319	Ceftriaxone	CAS:73384-59-5	null	29007	DB01212	C06683	null	null	PA448866	5479530	46506458
DCC0288	Fludarabine	CAS:75607-67-9	null	null	DB01073	null	D01907	null	PA449655	30751	46507525
DCC0347	Methamphetamine	CAS:537-46-2	null	6809	DB01577	C07164	null	null	PA450403	10836	46508541
DCC0348	Everolimus	CAS:159351-69-6	null	null	DB01590	null	D02714	null	PA164746311	null	null
DCC0349	Cilastatin	CAS:82009-34-5	null	3697	DB01597	C01675	null	CIL	PA448998	6435415	46505611
DCC0350	Imipenem	CAS:74431-23-5	null	471744	DB01598	null	null	null	PA449968	104838	46505744
DCC0351	Lopinavir	CAS:192725-17-0	578	null	DB01601	C12871	D01425	AB1	PA450264	92727	46508588
DCC0294	Rosuvastatin	CAS:287714-41-4	50215703	38545	DB01098	null	D01915	FBI	PA134308647	null	null
DCC0292	Streptomycin	CAS:57-92-1	null	17076	DB01082	C00413	null	SRY	PA451512	19649	46506845
DCC0293	Iloprost	CAS:78919-13-8	null	null	DB01088	null	null	null	PA164746843	6443959	46507818
DCC0320	Ketamine	CAS:6740-88-1	50044140	6121	DB01221	C07525	null	null	PA450144	3821	46508295
DCC0321	Budesonide	CAS:51333-22-3	null	3207	DB01222	null	D00246	null	PA448681	null	null
DCC0322	Aminophylline	CAS:317-34-0	null	null	DB01223	null	D00227	null	PA164781029	9433	46508784
DCC0323	Paclitaxel	CAS:33069-62-4	null	7887	DB01229	C07394	D00491	null	PA450761	36314	46506910
DCC0354	Pheniramine	CAS:86-21-5	50017656	null	DB01620	null	null	null	PA164744506	4761	46505932
DCC0355	Genistein	CAS:446-72-0	19459	28088	DB01645	C06563	null	GEN	null	5280961	46509060
DCC0357	LG100268	CAS:153559-76-3	null	null	DB01941	null	null	LG2	null	3922	46505129
DCC0358	Calcipotriol	CAS:112965-21-6	null	50749	DB02300	null	D01125	MC9	PA448714	null	null
DCC0352	Tazobactam	CAS:89786-04-9	50053173	null	DB01606	C07771	D00660	null	PA164764504	123630	46508088
DCC0353	Ticarcillin	CAS:34787-01-4	null	9587	DB01607	C07139	null	null	PA451684	36921	46505959
DCC0360	"2'-Deoxyinosine"	CAS:890-38-0	null	28997	DB02380	C01344	null	2ND	null	439488	46506677
DCC0361	Vorinostat	CAS:149647-78-9	19149	null	DB02546	null	null	SHH	PA164748224	5311	46508989
DCC0363	17-DMAG	CAS:467214-21-7	31996	null	DB03080	null	null	KOS	null	46936572	46504670
DCC0295	Capecitabine	CAS:154361-50-9	null	31348	DB01101	C12650	D01223	null	PA448771	60953	46508686
DCC0296	Heparin	CAS:9005-49-6	null	28304	DB01109	C00374	null	null	PA449855	null	46507594
DCC0297	Miconazole	CAS:22916-47-8	31772	6923	DB01110	C08070	D00882	null	PA450494	4189	46506017
DCC0324	Saquinavir	CAS:127779-20-8	50114967	null	DB01232	null	D00429	null	PA451305	60787	46508726
DCC0325	Dexamethasone	CAS:50-02-2	18207	41879	DB01234	null	D00292	DEX	PA449247	5743	46508930
DCC0326	Levodopa	CAS:59-92-7	null	15765	DB01235	C00355	D00059	DAH	PA450213	6047	46508120
DCC0327	Sevoflurane	CAS:28523-86-6	null	9130	DB01236	C07520	D00547	null	PA451341	5206	46508591
DCC0366	Eucalyptol	CAS:470-82-6	null	27961	DB03852	C09844	D04115	CNL	PA449555	null	null
DCC0367	Fenretinide	CAS:65646-68-6	null	null	DB03922	null	null	null	null	null	null
DCC0364	Flavopiridol	CAS:131740-09-5	5655	null	DB03496	null	null	CPB	PA452627	5287969	46507266
DCC0365	Epigallocatechin	CAS:970-74-1	null	null	DB03823	null	null	EGT	null	9882981	46506265
DCC0368	Clioquinol	CAS:130-26-7	null	null	DB04815	null	null	null	PA449039	2788	46509081
DCC0369	Trabectedin	CAS:114899-77-3	null	null	DB05109	null	null	null	PA165958349	108150	99443229
DCC0370	Glatiramer Acetate	CAS:147245-92-9	null	null	DB05259	null	null	null	PA449760	null	null
DCC0371	Alogliptin	CAS:850649-61-5	null	72323	DB06203	null	D06553	null	null	null	null
DCC0300	Diazoxide	CAS:364-98-7	null	4495	DB01119	C06949	D00294	null	PA449285	3019	46508027
DCC0301	Rabeprazole	CAS:117976-89-3	null	8768	DB01129	C07864	null	null	PA451216	5029	46506366
DCC0302	Proguanil	CAS:500-92-5	null	8455	DB01131	C07631	null	null	PA451124	6178111	46506228
DCC0298	Chlorpheniramine	CAS:132-22-9	35938	52010	DB01114	C06905	D07398	null	PA448960	2725	46508253
DCC0299	Atovaquone	CAS:95233-18-4	16301	575568	DB01117	null	D00236	null	PA448502	74989	46507298
DCC0328	Gemfibrozil	CAS:25812-30-0	null	5296	DB01241	null	D00334	null	PA449750	3463	46508264
DCC0329	Docetaxel	CAS:114977-28-5	null	4672	DB01248	C11231	D02165	null	PA449383	148124	46506766
DCC0330	Dasatinib	CAS:302962-49-8	13216	49375	DB01254	null	D03658	null	PA162372878	3062316	46505143
DCC0331	Aliskiren	CAS:173334-57-1	17950	601027	DB01258	null	D03208	null	PA143487910	5493444	46507474
DCC0372	Artemether	CAS:71963-77-4	50022886	195280	DB06697	null	D02483	null	PA165111698	null	null
DCC0404	Arzoxifene	CAS:182133-25-1	null	null	null	null	D02993	null	null	179337	null
DCC0405	Ravuconazole	CAS:182760-06-1	null	null	null	null	D02556	null	null	467825	null
DCC0406	Roscovitine	CAS:186692-46-6	null	null	null	null	null	null	null	160355	null
DCC0407	PA-824	CAS:187235-37-6	null	null	DB05154	null	null	null	null	456199	null
DCC0408	Endomorphin-1	CAS:189388-22-5	null	null	null	null	null	null	null	5311080	null
DCC0410	Tipifarnib	CAS:192185-72-1	null	null	DB04960	null	D03720	null	null	159324	null
DCC0411	Lomeguatrib	CAS:192441-08-0	null	null	null	null	null	null	null	3025944	null
DCC0412	Lonafarnib	CAS:193275-84-2	null	null	null	null	D04768	null	null	148195	null
DCC0303	Pioglitazone	CAS:111025-46-8	null	8228	DB01132	C07675	null	null	PA450970	4829	46507136
DCC0304	Levofloxacin	CAS:100986-85-4	50167506	null	DB01137	C07660	null	null	PA450214	149096	46505134
DCC0305	Gemifloxacin	CAS:175463-14-6	null	101853	DB01155	null	D02471	null	PA10088	null	null
DCC0306	Bupropion	CAS:34841-39-9	null	3219	DB01156	C06860	D07591	null	PA448687	444	46506896
DCC0307	Trimetrexate	CAS:52128-35-5	18268	null	DB01157	C11154	D06238	TMQ	PA451790	5583	46505247
DCC0332	Lapatinib	CAS:388082-78-8	5445	49603	DB01259	null	D04024	FMM	PA152241907	208908	46507141
DCC0333	Sitagliptin	CAS:486460-32-6	13513	40237	DB01261	null	null	715	PA164748978	4369359	46505822
DCC0334	Decitabine	CAS:2353-33-5	null	50131	DB01262	null	D03665	null	PA164749631	451668	46505657
DCC0375	Naphazoline hydrochloride	CAS:835-31-4	50027061	null	DB06711	null	D08253	null	PA165958384	4436	99443263
DCC0376	Triclosan	CAS:3380-34-5	null	164200	DB08604	null	null	TCL	null	5564	99445075
DCC0377	Antazoline	CAS:91-75-8	null	358709	DB08799	null	D07458	null	PA165958418	null	null
DCC0378	Fingolimod	CAS:162359-55-9	null	63115	DB08868	null	D10001	null	null	null	null
DCC0373	Levonordefrin	CAS:829-74-3	50029048	null	DB06707	null	null	null	PA165958380	164739	99443259
DCC0374	Lumefantrine	CAS:82186-77-4	50123012	156095	DB06708	null	D03821	null	PA165111722	6437380	99443260
DCC0379	Sodium caprate	CAS:1002-62-6	null	null	null	null	null	null	null	4457968	null
DCC0308	Arsenic trioxide	CAS:1327-53-3	null	null	DB01169	null	D02106	null	PA448486	518740	46506448
DCC0309	Kanamycin	CAS:8063-07-8	null	17630	DB01172	C00304	null	null	PA450137	6032	46508178
DCC0310	Orphenadrine	CAS:83-98-7	null	7789	DB01173	C07935	null	null	PA450715	4601	46506085
DCC0311	Ifosfamide	CAS:3778-73-2	null	5864	DB01181	C07047	D00343	null	PA449964	3690	46508335
DCC0335	Posaconazole	CAS:171228-49-2	null	null	DB01263	null	D02555	null	PA151958574	147912	46508639
DCC0336	Sunitinib	CAS:557795-19-4	4814	38940	DB01268	null	D06402	B49	PA162372840	5329102	46507140
DCC0337	Hydralazine	CAS:86-54-4	null	5775	DB01275	C07040	D01302	null	PA449894	3637	46507533
DCC0338	Bismuth Subsalicylate	CAS:14882-18-9	null	261649	DB01294	C07870	D00728	null	PA164774805	16682734	46507128
DCC0380	U0126	CAS:109511-58-2	null	null	null	null	null	null	null	3006531	null
DCC0381	3-BROP	CAS:1113-59-3	null	null	null	null	null	null	null	70684	null
DCC0382	Sodium phenylacetate	CAS:114-70-5	null	null	null	null	D05867	null	null	23690424	null
DCC0383	Tribendimidine	CAS:115103-15-6	null	null	null	null	null	null	null	3086564	null
DCC0384	L744832	CAS:1177806-11-9	null	null	null	null	null	null	null	16760043	null
DCC0385	Lafutidine	CAS:118288-08-7	null	null	null	null	D01131	null	null	5282136	null
DCC0388	Hydroquinone	CAS:123-31-9	null	null	null	null	D00073	null	null	785	null
DCC0389	Discodermolide	CAS:127943-53-7	null	null	null	null	null	null	null	643668	null
DCC0390	Depsipeptide	CAS:128517-07-7	null	null	null	null	D06637	null	null	5352062	null
DCC0391	Magnesium pidolate	CAS:135701-98-3	null	null	null	null	D08263	null	null	18601084	null
DCC0393	Scopadulciol acid	CAS:136565-26-9	null	null	null	null	null	null	null	131975	null
DCC0312	Naloxone	CAS:465-65-6	null	7459	DB01183	C07252	D08249	null	PA450586	5284596	46508816
DCC0313	Clindamycin	CAS:18323-44-9	null	3745	DB01190	C06914	D00277	CLY	PA449035	29029	46506073
DCC0314	Brinzolamide	CAS:138890-62-7	10885	3176	DB01194	C07760	D00652	BZU	PA164744929	68844	46507071
DCC0339	Sulfadoxine	CAS:2447-57-6	null	9329	DB01299	C07630	D00580	null	PA451540	17134	46507915
DCC0340	Mestranol	CAS:72-33-3	null	6784	DB01357	C07618	D00575	null	PA450388	6291	46507679
DCC0341	Sodium bicarbonate	CAS:144-55-8	null	32139	DB01390	C12603	D01203	null	PA451375	516892	46507049
DCC0342	Colchicine	CAS:64-86-8	null	23359	DB01394	C07592	D00570	LOC	PA449092	null	null
DCC0343	Drospirenone	CAS:67392-87-4	null	50838	DB01395	null	D03917	null	PA164749409	68873	46507653
DCC0394	Aplidine	CAS:137219-37-5	null	null	C16862	null	null	null	null	5459174	null
DCC0395	Pramoxine	CAS:140-65-8	null	null	null	null	D00739	null	null	4886	null
DCC0396	LY294002	CAS:154447-36-6	null	null	null	null	null	null	null	3973	null
DCC0397	Sodium butyrate	CAS:156-54-7	null	null	null	null	D08998	null	null	5222465	null
DCC0398	Dexketoprofen	CAS:156604-79-4	null	null	null	null	D07269	null	null	667550	null
DCC0399	Perifosine	CAS:157716-52-4	null	null	null	null	null	null	null	148177	null
DCC0400	Taxane	CAS:1605-68-1	null	null	null	null	null	null	null	13765148	null
DCC0401	Phorbol 12-myristate-13-acetate	CAS:16561-29-8	null	null	null	null	null	null	null	27924	null
DCC0402	PD98059	CAS:167869-21-8	null	null	null	null	null	null	null	4713	null
DCC0403	Tegafur	CAS:82294-77-7	null	null	null	null	D01244	null	null	5386	null
DCC0315	Captopril	CAS:62571-86-2	21642	3380	DB01197	null	D00251	null	PA448780	44093	46506879
DCC0316	Levetiracetam	CAS:102767-28-2	null	null	DB01202	C07841	D00709	null	PA450206	441341	46508406
DCC0317	Nadolol	CAS:42200-33-9	25766	7444	DB01203	null	D00432	null	PA450573	39147	46505509
DCC0126	Vincristine	CAS:57-22-7	null	28445	DB00541	C07204	null	null	PA451879	5978	46507033
DCC0127	Benazepril	CAS:86541-75-5	null	3011	DB00542	C06843	null	null	PA448561	5362124	46507884
DCC0128	Fluorouracil	CAS:51-21-8	null	46345	DB00544	C07649	D00584	URF	PA128406956	3385	46508557
DCC0129	Lamotrigine	CAS:84057-84-1	50031299	6367	DB00555	null	D00354	null	PA450164	3878	46505408
DCC0159	Nystatin	CAS:1400-61-9	null	null	DB00646	C06572	D00202	null	PA450666	11953884	46504780
DCC0160	Propoxyphene	CAS:469-62-5	null	8497	DB00647	C07406	null	null	PA451142	null	null
DCC0161	Stavudine	CAS:3056-17-5	50013111	null	DB00649	C07312	D00445	null	PA451494	18283	46506943
DCC0157	Simvastatin	CAS:79902-63-9	null	9150	DB00641	null	D00434	SIM	PA451363	null	null
DCC0158	Pemetrexed	CAS:150399-23-8	null	null	DB00642	null	null	LYA	PA10810	60843	46505640
DCC0188	Meropenem	CAS:119478-56-7	null	43968	DB00760	null	D02222	MER	PA164764445	null	null
DCC0189	Irinotecan	CAS:100286-90-6	null	null	DB00762	C16641	D08086	null	PA450085	60838	46505871
DCC0190	Clavulanate	CAS:58001-44-8	null	3736	DB00766	C06662	null	null	PA164742987	5280980	46508845
DCC0191	Etoposide	CAS:33419-42-0	null	4911	DB00773	C01576	D00125	null	PA449552	36462	46505434
DCC0217	Ranitidine	CAS:66357-35-5	22893	8776	DB00863	null	D00422	null	PA451224	3001055	46505543
DCC0218	Tacrolimus	CAS:104987-11-3	null	61049	DB00864	C01375	D00107	FK5	PA451578	445647	46506004
DCC0219	Dorzolamide	CAS:120279-96-1	50043906	4702	DB00869	C06969	D07871	null	PA164748765	null	null
DCC0130	Tigecycline	CAS:220620-09-7	null	149836	DB00560	C12012	D01079	null	PA164746412	5282044	46509041
DCC0131	Methotrexate	CAS:59-05-2	18050	6837	DB00563	C01937	D00142	MTX	PA450428	126941	46507678
DCC0132	Carbamazepine	CAS:298-46-4	null	3387	DB00564	C06868	D00252	null	PA448785	2554	46507583
DCC0162	Leucovorin	CAS:1492-18-8	null	null	DB00650	null	D01211	null	PA450198	54575	46505436
DCC0163	Pentazocine	CAS:359-83-1	50001028	null	DB00652	C07421	D00498	null	PA164744326	441278	46506363
