DrugCombination_ID,Components_Name,DrugBank_ID,Label,Smiles
DC000458,Amlodipine; Atorvastatin,DB00381/DB01076,1,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC?CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1
DC000087,Amlodipine; Streptomycin,DB00381/DB01082,1,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC?CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O
DC000045,Hydrochlorothiazide; Triamterene,DB00384/DB00999,1,NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1?NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1
DC003252,Phenylephrine; Pseudoephedrine,DB00388/DB00852,1,CNC[C@H](O)C1=CC(O)=CC=C1?CN[C@@H](C)[C@@H](O)C1=CC=CC=C1
DC000245,Cyclopentolate; Phenylephrine,DB00388/DB00979,1,CNC[C@H](O)C1=CC(O)=CC=C1?CN(C)CCOC(=O)C(C1=CC=CC=C1)C1(O)CCCC1
DC007287,Ibuprofen; Phenylephrine hydrochloride,DB00388/DB01050,1,CNC[C@H](O)C1=CC(O)=CC=C1?CC(C)CC1=CC=C(C=C1)C(C)C(O)=O
DC000194,Phenylephrine; Promethazine,DB00388/DB01069,1,CNC[C@H](O)C1=CC(O)=CC=C1?CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C
DC007288,Isoproterenol hydrochloride; Phenylephrine bitartrate,DB00388/DB01064,1,CNC[C@H](O)C1=CC(O)=CC=C1?CC(C)NCC(O)C1=CC(O)=C(O)C=C1
DC003052,Metoclopramide; Phenylephrine,DB00388/DB01233,1,CNC[C@H](O)C1=CC(O)=CC=C1?CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC
DC007310,Phenylephrine hydrochloride; Pyrilamine maleate,DB00388/DB06691,1,CNC[C@H](O)C1=CC(O)=CC=C1?COC1=CC=C(CN(CCN(C)C)C2=NC=CC=C2)C=C1
DC000358,Citicoline; Nimodipine,DB00393/DCC0470,1,COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C?C[N+](C)(C)CCOP([O-])(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O
DC002202,Beclomethasone; Salmeterol,DB00394/DB00938,1,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C?OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1
DC000343,Beclomethasone; Formoterol,DB00394/DB00983,1,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C?COC1=CC=C(CC(C)NCC(O)C2=CC(NC=O)=C(O)C=C2)C=C1
DC002140,Beclomethasone; Salbutamol,DB00394/DB01001,1,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C?CC(C)(C)NCC(O)C1=CC(CO)=C(O)C=C1
DC000035,Aspirin; Carisoprodol,DB00395/DB00945,1,CCCC(C)(COC(N)=O)COC(=O)NC(C)C?CC(=O)OC1=CC=CC=C1C(O)=O
DC001328,Fluorouracil; Sorafenib,DB00398/DB00544,1,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1?FC1=CNC(=O)NC1=O
DC000340,Carboplatin; Sorafenib,DB00398/DB00958,1,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1?[H][N]([H])([H])[Pt]1(OC(=O)C2(CCC2)C(=O)O1)[N]([H])([H])[H]
DC004989,Doxorubicin; Sorafenib,DB00398/DB00997,1,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1?COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O
DC004578,Capecitabine; Sorafenib,DB00398/DB01101,1,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1?CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O
DC006126,Sorafenib; Sunitinib,DB00398/DB01268,1,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1?CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C
DC000332,Genistein; Sorafenib,DB00398/DB01645,1,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1?OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O
DC004934,Azacitidine; Sorafenib,DB00398/DB00928,1,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1?NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
DC000475,Doxorubicin; Zoledronate,DB00399/DB00997,1,OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O?COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O
DC000455,Tipifarnib; Zoledronate,DB00399/DB04960,1,OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O?CN1C=NC=C1[C@@](N)(C1=CC=C(Cl)C=C1)C1=CC2=C(C=C1)N(C)C(=O)C=C2C1=CC(Cl)=CC=C1
DC003062,Leuprolide acetate; Zoledronate,DB00399/DB00007,1,OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O?CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1
DC003290,Vitamin d; Zoledronate,DB00399/DB00153,1,OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O?CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DC000257,Dexbrompheniramine; Pseudoephedrine,DB00405/DB00852,1,CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1?CN[C@@H](C)[C@@H](O)C1=CC=CC=C1
DC000228,Carboplatin; Rosiglitazone,DB00412/DB00958,1,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1?[H][N]([H])([H])[Pt]1(OC(=O)C2(CCC2)C(=O)O1)[N]([H])([H])[H]
DC002686,Ethacrynic acid; Rosiglitazone,DB00412/DB00903,1,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1?CCC(=C)C(=O)C1=C(Cl)C(Cl)=C(OCC(O)=O)C=C1
DC000623,Rosiglitazone; Saxagliptin,DB00412/DB06335,1,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1?[H][C@@]12C[C@]1([H])N([C@@H](C2)C#N)C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2
DC000504,Ampicillin; Gentamicin,DB00415/DB00798,1,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O?CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1
DC007193,Ampicillin; Probenecid,DB00415/DB01032,1,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O?CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O
DC000391,Ampicillin; Imipenem,DB00415/DB01598,1,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O?[H][C@]12CC(SCC\N=C\N)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O
DC007170,Ampicillin sodium; Sulbactam sodium,DB00415/DCC0893,1,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O?[H][C@@]12CC(=O)N1[C@@]([H])(C(O)=O)C(C)(C)S2(=O)=O
DC003066,Furosemide; Spironolactone,DB00421/DB00695,1,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O?NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O
DC000043,Hydrochlorothiazide; Spironolactone,DB00421/DB00999,1,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O?NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1
DC000048,Aspirin; Methocarbamol,DB00423/DB00945,1,COC1=C(OCC(O)COC(N)=O)C=CC=C1?CC(=O)OC1=CC=CC=C1C(O)=O
DC000223,Pseudoephedrine; Triprolidine,DB00427/DB00852,1,CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1?CN[C@@H](C)[C@@H](O)C1=CC=CC=C1
DC000230,Docetaxel; Trifluridine,DB00432/DB01248,1,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F?[H][C@@]1(C[C@@]2(O)[C@@H](OC(=O)C3=CC=CC=C3)[C@]3([H])[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C)OC(C)=O)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1
DC000086,Methdilazine; Prochlorperazine,DB00433/DB00902,1,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1?CN1CCC(CN2C3=CC=CC=C3SC3=CC=CC=C23)C1
DC000465,Bendroflumethiazide; Nadolol,DB00436/DB01203,1,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F?CC(C)(C)NCC(O)COC1=CC=CC2=C1C[C@H](O)[C@H](O)C2
DC000063,Amikacin; Ceftazidime,DB00438/DB00479,1,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1?NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
DC000052,Ceftazidime; Pefloxacin,DB00438/DB00487,1,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1?CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCN(C)CC1
DC004329,Ceftazidime; Metronidazole,DB00438/DB00916,1,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1?CC1=NC=C(N1CCO)[N+]([O-])=O
DC000308,Cerivastatin; Gemfibrozil,DB00439/DB01241,1,COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C?CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1
DC000493,Ciprofloxacin; Trimethoprim,DB00440/DB00537,1,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC?OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O
DC000197,Polymyxin B Sulfate; Trimethoprim,DB00440/DB00781,1,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC?[H][C@]1(NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@@H](CCN)NC(=O)[C@H](CCNC1=O)NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)CCCCC(C)CC)[C@@H](C)O)[C@@H](C)O
DC000237,Sulfamethoxazole; Trimethoprim,DB00440/DB01015,1,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC?CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1
DC000384,Cisplatin; Gemcitabine,DB00441/DB00515,1,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F?[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]
DC001728,Gemcitabine; Oxaliplatin,DB00441/DB00526,1,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F?[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1
DC002745,Carboplatin; Gemcitabine,DB00441/DB00958,1,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F?[H][N]([H])([H])[Pt]1(OC(=O)C2(CCC2)C(=O)O1)[N]([H])([H])[H]
DC003186,Gemcitabine; Paclitaxel,DB00441/DB01229,1,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F?[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C4=CC=CC=C4)C(C)=C([C@@H](OC(C)=O)C(=O)[C@]1(C)[C@@H](O)C[C@H]1OC[C@@]21OC(C)=O)C3(C)C
DC007060,Docetaxel; Gemcitabine,DB00441/DB01248,1,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F?[H][C@@]1(C[C@@]2(O)[C@@H](OC(=O)C3=CC=CC=C3)[C@]3([H])[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C)OC(C)=O)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1
DC005959,Gemcitabine; Tegafur,DB00441/DCC0403,1,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F?FC1=CN(C2CCCO2)C(=O)NC1=O
DC001340,Axitinib; Gemcitabine,DB00441/DB06626,1,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F?CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=CC=CC=N3)=C2)C=CC=C1
DC000350,Betamethasone; Calcipotriol,DB00443/DB02300,1,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C?O[C@H](\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)C1CC1
DC007011,Docetaxel; Epirubicin,DB00445/DB01248,1,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O?[H][C@@]1(C[C@@]2(O)[C@@H](OC(=O)C3=CC=CC=C3)[C@]3([H])[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C)OC(C)=O)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1
DC000119,Lansoprazole; Naproxen,DB00448/DB00788,1,CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1?COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O
DC001689,Budesonide; Lansoprazole,DB00448/DB01222,1,CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1?[H][C@@]12C[C@H]3OC(CCC)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
DC005603,Bosutinib; Lansoprazole,DB00448/DB06616,1,CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1?COC1=CC(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C(Cl)C=C1Cl
DC000293,Loratadine; Montelukast,DB00455/DB00471,1,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2?OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1
DC000070,Loratadine; Pseudoephedrine,DB00455/DB00852,1,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2?CN[C@@H](C)[C@@H](O)C1=CC=CC=C1
DC006104,Fluticasone Propionate; Montelukast,DB00471/DB00588,1,OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1?[H][C@@]12C[C@@H](C)[C@](OC(=O)CC)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
DC006753,Montelukast; Prednisolone,DB00471/DB00860,1,OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1?[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
DC003110,Citalopram; Fluoxetine,DB00472/DB00215,1,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1?CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
DC001986,Fluoxetine; Quetiapine,DB00472/DB01224,1,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1?OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=CC=CC=C12
DC001974,Clomipramine; Fluoxetine,DB00472/DB01242,1,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1?CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=C(Cl)C=C2
DC000487,Amikacin; Tigecycline,DB00479/DB00560,1,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O?[H][C@@]12CC3=C(C(O)=C(NC(=O)CNC(C)(C)C)C=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2
DC000062,Amikacin; Ceftriaxone,DB00479/DB01212,1,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O?[H][C@]12SCC(CSC3=NC(=O)C(=O)NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O
DC000054,Amikacin; Garenoxacin,DB00479/DCC0413,1,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O?C[C@H]1NCC2=CC(=CC=C12)C1=CC=C2C(=O)C(=CN(C3CC3)C2=C1OC(F)F)C(O)=O
DC000288,Dexamethasone; Lenalidomide,DB00480/DB01234,1,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O?[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
DC003376,Azacitidine; Lenalidomide,DB00480/DB00928,1,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O?NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
DC000126,Celecoxib; Perifosine,DB00482/DCC0399,1,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F?CCCCCCCCCCCCCCCCCCOP([O-])(=O)OC1CC[N+](C)(C)CC1
DC000421,Celecoxib; Emodin,DB00482/DCC0442,1,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F?CC1=CC(O)=C2C(=O)C3=C(C=C(O)C=C3O)C(=O)C2=C1
DC003959,Celecoxib; Chenodeoxycholic acid,DB00482/DB01586,1,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F?[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O
DC001326,Brimonidine; Latanoprost,DB00484/DB00654,1,BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12?CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1=CC=CC=C1
DC007175,Brimonidine tartrate; Brinzolamide,DB00484/DB01194,1,BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12?CCN[C@H]1CN(CCCOC)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
DC000459,Fosinopril; Hydrochlorothiazide,DB00492/DB00999,1,CCC(=O)O[C@@H](OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C?NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1
DC000101,Lamivudine; Zidovudine,DB00495/DB00709,1,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O?NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1
DC000265,Eucalyptol; Zidovudine,DB00495/DB03852,1,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O?C[C@@]12CC[C@@H](CC1)C(C)(C)O2
DC000033,Aspirin; Oxycodone,DB00497/DB00945,1,COC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5C?CC(=O)OC1=CC=CC=C1C(O)=O
DC000071,Ibuprofen; Oxycodone,DB00497/DB01050,1,COC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5C?CC(C)CC1=CC=C(C=C1)C(C)C(O)=O
DC005878,Naloxone; Oxycodone,DB00497/DB01183,1,COC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5C?OC1=CC=C2C[C@H]3N(CC=C)CC[C@@]45[C@@H](OC1=C24)C(=O)CC[C@@]35O
DC000782,Oxycodone; Pregabalin,DB00497/DB00230,1,COC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5C?CC(C)C[C@H](CN)CC(O)=O
DC003382,Hydromorphone; Oxycodone,DB00497/DB00327,1,COC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5C?[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O
DC000427,Cimetidine; Fexofenadine,DB00501/DB00950,1,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N?CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
DC000311,Ritonavir; Saquinavir,DB00503/DB01232,1,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1?[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=NC3=C(C=CC=C3)C=C1)[C@@H](C2)C(=O)NC(C)(C)C
DC004406,Colchicine; Ritonavir,DB00503/DB01394,1,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1?COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1C(CC2)NC(C)=O
DC000103,Lopinavir; Ritonavir,DB00503/DB01601,1,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1?CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1
