DrugCombination_ID	Components_Name	Componets_ID
DC002716	Cediranib; Lomustine	DCC0723/DCC1537
DC002741	Indomethacin; Rilonacept	DCC0055/DCC1682
DC002745	Carboplatin; Gemcitabine	DCC0094/DCC0245
DC002749	Fluticasone Propionate; Oxymetazoline; Prazosin	DCC0139/DCC1285/DCC1446
DC002758	Olanzapine; Valproic Acid	DCC0048/DCC0059
DC002765	Docetaxel; Prednisone	DCC0156/DCC0329
DC002772	Fulvestrant; Gefitinib	DCC0050/DCC1450
DC002774	Epinephrine; Methylprednisolone; Vasopressin	DCC0166/DCC1454/DCC1145
DC002777	Exenatide; Pioglitazone	DCC0303/DCC1560
DC002096	Dexamethasone; Granisetron; Prochlorperazine	DCC0089/DCC0325/DCC1427
DC002104	Campath 1H; Cyclophosphamide; Fludarabine	DCC0123/DCC0288/DCC0917
DC002122	Anti-thymocyte globulin; Mycophenolate mofetil; Rapamycin; Tacrolimus	DCC0173/DCC0218/DCC0223/DCC1161
DC002126	Diclofenac; Tanezumab	DCC0138/DCC1011
DC002130	Aztreonam; Vancomycin	DCC0065/DCC0115
DC002140	Beclomethasone; Salbutamol	DCC0077/DCC0261
DC002141	Gemtuzumab ozogamicin; Vorinostat	DCC0361/DCC1138
DC002150	Glimepiride; Insulin glargine; Metformin	DCC0027/DCC0057/DCC1133
DC002154	Azathioprine; Infliximab; Methylprednisolone	DCC1143/DCC1454/DCC1468
DC002155	Atorvastatin; Clopidogrel	DCC0290/DCC1390
DC002178	Cisplatin; Doxorubicin; Ifosfamide; Palifermin; Vincristine	DCC0117/DCC0126/DCC0259/DCC0311/DCC1129
DC002181	Dobutamine; Norepinephrine	DCC1259/DCC1412
DC002186	Fluorouracil; Octreotide	DCC0128/DCC1164
DC002196	Amoxicillin; Artemether; Lumefantrine	DCC0285/DCC0372/DCC0374
DC002202	Beclomethasone; Salmeterol	DCC0077/DCC0239
DC002205	Gentamicin; Levofloxacin	DCC0199/DCC0304
DC002209	Docetaxel; Fluorouracil; Leucovorin; Oxaliplatin	DCC0120/DCC0128/DCC0162/DCC0329
DC002220	Fulvestrant; Ganitumab	DCC1040/DCC1450
DC002238	Bicalutamide; Goserelin acetate	DCC1116/DCC1508
DC002240	Docetaxel; Epirubicin; Recombinant human endostatin	DCC0096/DCC0329/DCC1775
DC002248	Aripiprazole; Lithium	DCC1546/DCC1574
DC002254	Folic acid; Metformin	DCC0057/DCC1183
DC002264	Exemestane; Ganitumab	DCC1040/DCC1466
DC002270	Ezetimibe; Fluvastatin	DCC0250/DCC1494
DC002275	Bismuth subcitrate potassium; Metronidazole; Omeprazole; Tetracycline	DCC0061/DCC0187/DCC0235/DCC1010
DC002282	Moxifloxacin; PA-824; Pyrazinamide	DCC0062/DCC0407/DCC1208
DC002327	Carfilzomib; Dexamethasone; Lenalidomide	DCC0103/DCC0325/DCC1737
DC002342	Bevacizumab; Cisplatin; Pemetrexed	DCC0012/DCC0117/DCC0158
DC002364	Artemether; Chloroquine; Lumefantrine	DCC0372/DCC0374/DCC1333
DC002367	Bortezomib; Cyclophosphamide; Dexamethasone; Lenalidomide	DCC0016/DCC0103/DCC0123/DCC0325
DC002381	Casopitant; Dexamethasone; Ondansetron	DCC0325/DCC0770/DCC1434
DC002383	Ceftriaxone; Levofloxacin	DCC0304/DCC0319
DC002405	Erlotinib; Gemcitabine; Oxaliplatin	DCC0094/DCC0120/DCC0122
DC002411	Dexamethasone; Lenalidomide; Sotatercept	DCC0103/DCC0325/DCC0488
DC002413	Erlotinib; Teprotumumab	DCC0122/DCC1024
DC002423	Olaparib; Paclitaxel	DCC0323/DCC0932
DC002436	Neratinib; Paclitaxel	DCC0323/DCC0904
DC002437	Bleomycin sulfate; Doxorubicin; Etoposide; Prednisone; Procarbazine	DCC0156/DCC0191/DCC0259/DCC1234/DCC1522
DC002449	Peginterferon alfa-2a; Ribavirin; Thymalfasin	DCC0002/DCC0203/DCC1648
DC002454	Chlorhexidine; Lidocaine	DCC0040/DCC0224
DC002470	Cetrorelix acetate; Letrozole	DCC0264/DCC1135
DC002484	Midazolam; Zibotentan	DCC0652/DCC1353
DC002485	Abciximab; Rapamycin	DCC0223/DCC1137
DC002493	Humalog; Insulin glargine	DCC1132/DCC1133
DC002494	Buserelin; Pregnyl	DCC1160/DCC1703
DC002499	Canakinumab; Metformin	DCC0057/DCC1664
DC002501	Formoterol; Salmeterol	DCC0239/DCC0255
DC002503	Amoxicillin; Esomeprazole; Moxifloxacin	DCC0285/DCC1208/DCC1377
DC002505	Campath 1H; Rapamycin	DCC0223/DCC0917
DC003584	Bevacizumab; Cyclophosphamide; Epirubicin; Fluorouracil; Paclitaxel	DCC0012/DCC0096/DCC0123/DCC0128/DCC0323
DC003585	Ceftaroline fosamil; Clarithromycin	DCC0318/DCC1684
DC003590	Ampicillin; Cefuroxime; Sulbactam	DCC0083/DCC0893/DCC1500
DC003607	Azacitidine; Romiplostim	DCC0717/DCC1443
DC003611	Boceprevir; Peginterferon alfa-2b; Ribavirin	DCC0003/DCC0203/DCC0764
DC003619	Gefitinib; Simvastatin	DCC0050/DCC0157
DC003645	Fentanyl; Midazolam	DCC0204/DCC1353
DC003646	Piperaquine; Pyrimethamine; Sulfadoxine	DCC0023/DCC0339/DCC0769
DC003665	Temozolomide; Vorinostat	DCC0215/DCC0361
DC003675	Infliximab; Methotrexate; Methylprednisolone	DCC0131/DCC1143/DCC1454
DC003689	Fenofibrate; Lapaquistat acetate	DCC0276/DCC0657
DC003692	Laropiprant; Niacin; Rosuvastatin	DCC0152/DCC0294/DCC0448
DC003697	Dacarbazine; Fotemustine; Interferon alfa-2b	DCC1165/DCC1417/DCC1628
DC003704	Carboplatin; Doxorubicin; Trastuzumab	DCC0008/DCC0245/DCC0259
DC003707	Duloxetine; Escitalopram	DCC1293/DCC1524
DC003717	Atorvastatin; Interferon beta 1	DCC0290/DCC0601
DC003718	Atorvastatin; Lapaquistat acetate	DCC0290/DCC0657
DC003734	Basiliximab; Everolimus; Tacrolimus	DCC0218/DCC0348/DCC1149
DC003737	Amoxicillin; Bismuth potassium citrate; Clavulanate; Esomeprazole; Furazolidone	DCC0190/DCC0285/DCC0832/DCC1334/DCC1377
DC003746	Clomifene; Metformin	DCC0057/DCC1424
DC003750	Efavirenz; Emtricitabine; Lamivudine; Tenofovir; Zidovudine	DCC0045/DCC0111/DCC0150/DCC0179/DCC0225
DC003752	Lapaquistat acetate; Rosuvastatin	DCC0294/DCC0657
DC003764	Formoterol; Omalizumab; Salmeterol	DCC0239/DCC0255/DCC1131
DC003771	Ceftriaxone; Ertapenem	DCC0319/DCC1240
DC003038	Fentanyl; Mepivacaine	DCC0204/DCC0246
DC003043	Fluticasone Propionate; Formoterol	DCC0139/DCC0255
DC003052	Metoclopramide; Phenylephrine	DCC0075/DCC1545
DC003062	Leuprolide acetate; Zoledronate	DCC0080/DCC1112
DC003066	Furosemide; Spironolactone	DCC0085/DCC0174
DC003074	Furosemide; Mannitol	DCC0174/DCC1381
DC003082	Aldesleukin; Cyclophosphamide; Etoposide; Filgrastim	DCC0006/DCC0123/DCC0191/DCC1162
DC003089	Rapamycin; Tacrolimus	DCC0218/DCC0223
DC003100	Dihydroartemisinin; Piperaquine; Primaquine	DCC0769/DCC0912/DCC1493
DC003110	Citalopram; Fluoxetine	DCC0100/DCC1207
DC003117	Alfacalcidol; Calcium; Ibandronate	DCC1363/DCC1577/DCC1589
DC003124	Lamivudine; Raltegravir; Tenofovir	DCC0045/DCC0179/DCC0802
DC003129	Busulfan; Melphalan	DCC0278/DCC1471
DC003132	Cyclophosphamide; Filgrastim; Lenalidomide; Melphalan	DCC0103/DCC0123/DCC0278/DCC1162
DC003139	Methotrexate; Tacrolimus	DCC0131/DCC0218
DC003148	Clopidogrel; Everolimus	DCC0348/DCC1390
DC003152	Amodiaquine; Artesunate; Pyrimethamine; Sulfadoxine	DCC0023/DCC0146/DCC0339/DCC0464
DC003156	Desipramine; Naltrexone; Paroxetine	DCC0177/DCC1367/DCC1515
DC003176	Campath 1H; Rituximab; Sargramostim	DCC0009/DCC0917/DCC1121
DC003185	Miltefosine; Paromomycin	DCC0450/DCC1587
DC003186	Gemcitabine; Paclitaxel	DCC0094/DCC0323
DC003191	Mycophenolate mofetil; Rapamycin; Tacrolimus	DCC0173/DCC0218/DCC0223
DC003200	Exenatide; Prednisolone	DCC0216/DCC1560
DC003211	Pravastatin; Simvastatin	DCC0157/DCC1191
DC003215	Atorvastatin; Ezetimibe; Fenofibrate	DCC0250/DCC0276/DCC0290
DC003251	Bexarotene; Methoxsalen	DCC1242/DCC1314
DC003252	Phenylephrine; Pseudoephedrine	DCC0075/DCC0214
DC003262	Cetuximab; Cisplatin; Vinorelbine	DCC0001/DCC0067/DCC0117
DC003269	Insulin glargine; Lixisenatide; Metformin	DCC0057/DCC0741/DCC1133
DC003276	Prednisone; Thalidomide	DCC0156/DCC0277
DC003290	Vitamin d; Zoledronate	DCC0080/DCC1182
DC003294	Interferon alfa-2b; Interferon gamma-1b; Ribavirin	DCC0203/DCC1126/DCC1165
DC003295	Apixaban; Enoxaparin; Warfarin	DCC0171/DCC1542/DCC1686
DC003304	Pantoprazole; Rebamipide	DCC0026/DCC1035
DC003321	Cyclophosphamide; Doxorubicin; Obinutuzumab; Prednisone; Vincristine	DCC0123/DCC0126/DCC0156/DCC0259/DCC1084
DC003324	Bevacizumab; Carboplatin; Gemcitabine	DCC0012/DCC0094/DCC0245
DC003325	Cisplatin; Pemetrexed	DCC0117/DCC0158
DC003331	Levofloxacin; Prednisone	DCC0156/DCC0304
DC003335	Pertuzumab; Trastuzumab	DCC0008/DCC1681
DC003345	Primaquine; Pyrimethamine; Sulfadoxine	DCC0023/DCC0339/DCC1493
DC003351	Captopril; Irbesartan	DCC0270/DCC0315
DC003362	Azathioprine; Prednisolone	DCC0216/DCC1468
DC003363	Lapatinib; Paclitaxel; Trastuzumab	DCC0008/DCC0323/DCC0332
DC003375	Atazanavir; Lamivudine; Raltegravir	DCC0179/DCC0802/DCC1489
DC003376	Azacitidine; Lenalidomide	DCC0103/DCC1443
DC003382	Hydromorphone; Oxycodone	DCC0112/DCC1247
DC003385	Estradiol; Leuprolide acetate	DCC0194/DCC1112
DC003395	Etodolac; Propranolol	DCC0134/DCC1386
DC003407	Cisplatin; Erlotinib	DCC0117/DCC0122
DC003418	Enbrel; Methotrexate; Prednisolone	DCC0131/DCC0216/DCC1110
DC003422	Cisplatin; Fluorouracil	DCC0117/DCC0128
DC003423	Ketorolac; Morphine; Ropivacaine	DCC0043/DCC0920/DCC1238
DC003425	Lixisenatide; Metformin	DCC0057/DCC0741
DC003435	Formoterol; Tiotropium	DCC0255/DCC1584
DC003440	Pravastatin; Valsartan	DCC0014/DCC1191
DC003443	Bevacizumab; Cisplatin; Topotecan	DCC0012/DCC0117/DCC0271
DC003477	Chlorambucil; Rituximab	DCC0009/DCC1235
DC003492	Cyclophosphamide; Fludarabine; Ofatumumab	DCC0123/DCC0288/DCC1106
DC003505	Mycophenolate mofetil; Prednisone; Tacrolimus	DCC0156/DCC0173/DCC0218
DC003509	Aspirin; Cilostazol; Clopidogrel	DCC0240/DCC1390/DCC1520
DC003521	Isoniazid; Sulfamethoxazole; Trimethoprim	DCC0093/DCC0242/DCC0266
DC003554	Insulin glargine; Metformin	DCC0057/DCC1133
DC003559	Calcium carbonate; Teriparatide; Vitamin d	DCC1182/DCC1677/DCC1705
DC003566	Bortezomib; Idarubicin	DCC0016/DCC1525
DC003577	Anastrozole; Goserelin acetate	DCC1116/DCC1539
DC003578	Abciximab; Heparin	DCC0296/DCC1137
DC004250	Methylprednisolone; Mycophenolate mofetil; Prednisone; Rituximab	DCC0009/DCC0156/DCC0173/DCC1454
DC004263	Clopidogrel; Telmisartan	DCC0247/DCC1390
DC004288	Amodiaquine; Pyrimethamine; Sulfadoxine	DCC0023/DCC0146/DCC0339
DC004289	Aliskiren; Captopril	DCC0315/DCC0331
DC004307	Budesonide; Terbutaline	DCC0321/DCC1422
DC004309	Enoxaparin; Rosuvastatin	DCC0294/DCC1542
DC004310	Chlordiazepoxide; Citalopram; Pioglitazone	DCC0101/DCC0303/DCC1207
DC004318	Bupivacaine; Hydromorphone	DCC0044/DCC1247
DC004327	Danoprevir; Peginterferon alfa-2a; Ribavirin	DCC0002/DCC0203/DCC0979
DC004329	Ceftazidime; Metronidazole	DCC0091/DCC0235
DC004345	Aspirin; Lenalidomide; Melphalan; Prednisone	DCC0103/DCC0156/DCC0240/DCC0278
DC004362	Carvedilol; Enalapril	DCC0137/DCC1509
DC004366	Fluoxetine; Lithium carbonate; Venlafaxine	DCC0100/DCC0818/DCC1231
DC004534	Drotrecogin alfa; Enoxaparin	DCC0849/DCC1542
DC004569	Floxacillin; Nafcillin; Oxacillin; Teicoplanin; Vancomycin	DCC0115/DCC1239/DCC1332/DCC1365/DCC1661
DC004575	Lisinopril; Losartan	DCC0169/DCC0181
DC004578	Capecitabine; Sorafenib	DCC0079/DCC0295
DC004590	Carboplatin; Pemetrexed	DCC0158/DCC0245
DC004598	Atrasentan; Docetaxel; Prednisone	DCC0156/DCC0329/DCC0639
DC004601	1-propanol; Octenidine	DCC0909/DCC1622
DC004617	Conivaptan; Furosemide	DCC0174/DCC1423
DC004618	Atorvastatin; Simvastatin	DCC0157/DCC0290
DC004637	Basiliximab; Everolimus; Mycophenolate acid; Prednisolone	DCC0216/DCC0348/DCC1149/DCC1477
DC004658	Acetaminophen; Morphine	DCC0043/DCC0049
DC004659	Carbamazepine; Nevirapine	DCC0030/DCC0132
DC004661	Liraglutide; Sulfonylurea	DCC0811/DCC1690
DC004679	Carboplatin; Docetaxel	DCC0245/DCC0329
DC004690	Doxycycline; Ethinyl Estradiol; Levonorgestrel	DCC0070/DCC0252/DCC1221
DC004694	Colchicine; Ketoconazole	DCC0342/DCC1478
DC004700	Bisacodyl; Polyethylene glycol	DCC0705/DCC0850
DC004719	Capecitabine; Epirubicin; Oxaliplatin; Panitumumab	DCC0096/DCC0120/DCC0295/DCC1555
DC004724	LMWH; Warfarin	DCC0171/DCC1755
DC004727	Cyclophosphamide; Dexamethasone; Lenalidomide	DCC0103/DCC0123/DCC0325
DC004736	Bicalutamide; Dutasteride; Goserelin acetate; Ketoconazole	DCC1116/DCC1478/DCC1507/DCC1508
DC004751	Ciprofloxacin; Tobramycin	DCC0124/DCC0172
DC004769	Follitropin beta; Peginterferon alfa-2a; Ribavirin	DCC0002/DCC0203/DCC1144
DC004379	Nevirapine; Zidovudine	DCC0030/DCC0111
DC004397	Ibuprofen; Telcagepant	DCC0282/DCC0944
DC004406	Colchicine; Ritonavir	DCC0114/DCC0342
DC004425	Efavirenz; Lamivudine; Zidovudine	DCC0111/DCC0150/DCC0179
DC004428	Cyclosporine; Everolimus; Pimecrolimus; Tacrolimus	DCC0011/DCC0218/DCC0348/DCC1249
DC004458	Candesartan; Nifedipine	DCC0198/DCC1502
DC004459	Darunavir; Ritonavir	DCC0114/DCC1552
DC004469	Dapagliflozin; Glimepiride; Metformin; Pioglitazone; Rosiglitazone	DCC0027/DCC0057/DCC0082/DCC0303/DCC0779
DC004483	Aspirin; Pioglitazone	DCC0240/DCC0303
DC004490	Efavirenz; Lamivudine; Stavudine	DCC0150/DCC0161/DCC0179
DC004523	Arginine hydrochloride; Vitamin d	DCC1172/DCC1182
DC004527	Bupivacaine; Clonidine; Lidocaine	DCC0040/DCC0044/DCC0136
DC003773	Emtricitabine; Raltegravir; Tenofovir	DCC0045/DCC0225/DCC0802
DC003841	Bismuth Subsalicylate; Furazolidone; Tetracycline	DCC0187/DCC0338/DCC1334
DC003851	Cisplatin; Vinorelbine	DCC0067/DCC0117
DC003855	Ceftriaxone; Oxacillin	DCC0319/DCC1365
DC003875	Aspirin; Dipyridamole; Telmisartan	DCC0240/DCC0247/DCC0251
DC003896	Boceprevir; Epoetin-alpha; Peginterferon alfa-2b; Ribavirin	DCC0003/DCC0203/DCC0764/DCC1118
DC003897	Campath 1H; Fludarabine; Rituximab	DCC0009/DCC0288/DCC0917
DC003898	Cisplatin; Doxorubicin; Ifosfamide; Vincristine	DCC0117/DCC0126/DCC0259/DCC0311
DC003926	Oxaliplatin; Tegafur; Potassium oxonate; 5-2,4-dihydroxypyrimidine	DCC0120/DCC0403/DCC0416/DCC0439
DC003936	Canagliflozin; Metformin; Sulfonylurea	DCC0057/DCC0811/DCC1743
DC003937	Insulin glargine; Insulin glulisine	DCC1133/DCC1569
DC003938	Aflibercept; Docetaxel	DCC0329/DCC1736
DC003954	Dexamethasone; Doxorubicin; Lenalidomide	DCC0103/DCC0259/DCC0325
DC003957	Cabazitaxel; Prednisone	DCC0156/DCC1707
DC003959	Celecoxib; Chenodeoxycholic acid	DCC0105/DCC1594
DC003961	Sorafenib; Tegafur; Uracil	DCC0079/DCC0403/DCC1624
DC003973	Didanosine; Lopinavir; Ritonavir; Zidovudine	DCC0111/DCC0114/DCC0228/DCC0351
DC003991	Atorvastatin; Ezetimibe; Simvastatin	DCC0157/DCC0250/DCC0290
DC003997	Efavirenz; Ethambutol; Isoniazid; Lamivudine; Pyrazinamide; Rifampin	DCC0056/DCC0062/DCC0150/DCC0179/DCC0242/DCC0280
DC004000	Aripiprazole; Olanzapine; Quetiapine; Risperidoene; Ziprasidone	DCC0059/DCC1218/DCC1376/DCC1541/DCC1546
DC004002	Acamprosate; Escitalopram	DCC1345/DCC1524
DC004005	Cholecalciferol; Insulin glargine	DCC0887/DCC1133
DC004024	L-NMMA acetate; Trimethaphan	DCC0810/DCC1503
DC004025	Rosiglitazone; Somatropin	DCC0082/DCC1136
DC004030	Basiliximab; Belatacept; Mycophenolate mofetil; Tacrolimus	DCC0173/DCC0218/DCC1149/DCC1693
DC004047	Colesevelam; Metformin	DCC0057/DCC1444
DC004053	Didanosine; Nevirapine; Zidovudine	DCC0030/DCC0111/DCC0228
DC004057	Bleomycin sulfate; Dacarbazine; Doxorubicin; Rituximab; Vinblastine	DCC0009/DCC0259/DCC1234/DCC1321/DCC1417
DC004060	Artesunate; Pyrimethamine; Sulfadoxine	DCC0023/DCC0339/DCC0464
DC004079	Peginterferon alfa-2a; Ribavirin; Simeprevir	DCC0002/DCC0203/DCC1060
DC004097	Peginterferon alfa-2a; Ribavirin; Telaprevir	DCC0002/DCC0203/DCC1658
DC004100	Ceftriaxone; Clarithromycin	DCC0318/DCC0319
DC004109	Artesunate; Pyronaridine	DCC0464/DCC0927
DC004112	Conjugated Estrogen; Estradiol; Progestrone	DCC0194/DCC0552/DCC1267
DC004136	Docetaxel; Oxaliplatin; Vandetanib	DCC0120/DCC0329/DCC1657
DC004137	Amoxicillin; Clarithromycin; Metronidazole; Omeprazole	DCC0061/DCC0235/DCC0285/DCC0318
DC004149	Memantine; Rivastigmine	DCC1465/DCC1481
DC004156	Campath 1H; Tacrolimus	DCC0218/DCC0917
DC004164	Carboplatin; Etoposide	DCC0191/DCC0245
DC004166	Carboplatin; Trientine	DCC0245/DCC0532
DC004170	Losartan; Propranolol	DCC0134/DCC0169
DC004178	Cytarabine; Daunorubicin; Midostaurin	DCC0256/DCC0386/DCC1357
DC004187	Olanzapine; Quetiapine; Ziprasidone	DCC0059/DCC1218/DCC1541
DC004193	Prednisone; Rituximab	DCC0009/DCC0156
DC004198	Adenosine; Nicorandil	DCC0875/DCC1338
DC004205	Didanosine; Efavirenz; Zidovudine	DCC0111/DCC0150/DCC0228
DC005421	Enbrel; Levofloxacin	DCC0304/DCC1110
DC005449	Exenatide; Insulin	DCC1124/DCC1560
DC005450	Fluconazole; Lamivudine; Nevirapine; Stavudine	DCC0030/DCC0161/DCC0179/DCC1200
DC005463	Aprepitant; Fexofenadine; Prednisone	DCC0156/DCC0241/DCC1351
DC005467	Metformin; Spironolactone	DCC0057/DCC0085
DC005472	Atazanavir; Lopinavir; Ritonavir	DCC0114/DCC0351/DCC1489
DC005488	Benzathine penicillin; Doxycycline	DCC0612/DCC1221
DC005501	2-Propanol; Ethanol	DCC0886/DCC1431
DC005521	Acetaminophen; Telcagepant	DCC0049/DCC0944
DC005523	Basiliximab; Cyclosporine; Mycophenolate mofetil; Prednisone	DCC0011/DCC0156/DCC0173/DCC1149
DC005540	Bortezomib; Cyclophosphamide; Dexamethasone	DCC0016/DCC0123/DCC0325
DC005542	Methotrexate; Prednisone; Rituximab	DCC0009/DCC0131/DCC0156
DC005557	Denosumab; Teriparatide	DCC1677/DCC1689
DC005559	Bevacizumab; Carboplatin; Irinotecan	DCC0012/DCC0189/DCC0245
DC005570	Brimonidine; Prostaglandin; Timolol	DCC0072/DCC0106/DCC1613
DC005582	Budesonide; Formoterol; Terbutaline	DCC0255/DCC0321/DCC1422
DC005603	Bosutinib; Lansoprazole	DCC0097/DCC1687
DC005610	Azelnidipine; Olmesartan	DCC0038/DCC0565
DC005613	Bevacizumab; Trastuzumab	DCC0008/DCC0012
DC005627	Argatroban; Desirudin	DCC0551/DCC1227
DC005636	Capecitabine; Gemcitabine; Oxaliplatin; Panitumumab	DCC0094/DCC0120/DCC0295/DCC1555
DC005651	Ketamine; Morphine	DCC0043/DCC0320
DC005658	Bortezomib; Prednisone; Thalidomide	DCC0016/DCC0156/DCC0277
DC005665	Bortezomib; Dexamethasone; Lenalidomide	DCC0016/DCC0103/DCC0325
DC005702	Donepezil; Duloxetine; Escitalopram; Venlafaxine	DCC1231/DCC1293/DCC1414/DCC1524
DC005712	Bevacizumab; Interferon alfa-2a	DCC0012/DCC1127
DC004818	Pentobarbital; Thiopental	DCC1244/DCC1329
DC004823	Methotrexate; Simvastatin; Tocilizumab	DCC0131/DCC0157/DCC1676
DC004834	Cetuximab; Paclitaxel	DCC0001/DCC0323
DC004843	Basiliximab; Tacrolimus	DCC0218/DCC1149
DC004844	Cytarabine; Etoposide; Mitoxantrone; Plerixafor	DCC0191/DCC0256/DCC1535/DCC1710
DC004857	Cyclophosphamide; Fluorouracil; Methotrexate	DCC0123/DCC0128/DCC0131
DC004864	Fluticasone Propionate; Prednisolone	DCC0139/DCC0216
DC004872	Methylprednisolone; Ocrelizumab	DCC0868/DCC1454
DC004873	Insulin; Repaglinide	DCC0233/DCC1124
DC004887	Alogliptin; Voglibose	DCC0371/DCC1644
DC004890	Methyltestosterone; Sildenafil	DCC0022/DCC1335
DC004926	Duloxetine; Gabapentin	DCC0258/DCC1293
DC004931	Azathioprine; Infliximab	DCC1143/DCC1468
DC004934	Azacitidine; Sorafenib	DCC0079/DCC1443
DC004956	Mifepristone; Misoprostol	DCC0238/DCC1411
DC004957	Lopinavir; Pitavastatin; Ritonavir	DCC0114/DCC0351/DCC1726
DC004962	Methotrexate; Tocilizumab	DCC0131/DCC1676
DC004965	Dexamethasone; Doxorubicin; Trabectedin	DCC0259/DCC0325/DCC0369
DC004966	Glyburide; Metformin; Saxagliptin	DCC0057/DCC0267/DCC1680
DC004971	Efavirenz; Ethambutol; Isoniazid; Nevirapine; Rifampin	DCC0030/DCC0056/DCC0150/DCC0242/DCC0280
DC004972	RHpDGF-BB; Tricalcium phosphate	DCC0938/DCC1781
DC004974	Anti-thymocyte globulin; Cyclosporine	DCC0011/DCC1161
DC004980	Cyclophosphamide; Prednisolone	DCC0123/DCC0216
DC004989	Doxorubicin; Sorafenib	DCC0079/DCC0259
DC004991	Ceftriaxone; Metronidazole	DCC0235/DCC0319
DC004999	Indacaterol maleate; Salmeterol	DCC0239/DCC0738
DC005005	Azacitidine; Gemtuzumab ozogamicin; Vorinostat	DCC0361/DCC1138/DCC1443
DC005012	Pioglitazone; Saxagliptin	DCC0303/DCC1680
DC005042	Amisulpride; Moclobemide	DCC1523/DCC1679
DC005043	Calcium carbonate; Vitamin d	DCC1182/DCC1705
DC005046	Dextroamphetamine; Methylphenidate	DCC1273/DCC1593
DC005062	Decitabine; Valproic Acid	DCC0048/DCC0334
DC005093	Dexamethasone; Rituximab	DCC0009/DCC0325
DC005096	Escitalopram; Peginterferon alfa-2a; Ribavirin	DCC0002/DCC0203/DCC1524
DC005116	Anastrozole; Fulvestrant	DCC1450/DCC1539
DC005134	Obatoclax mesylate; Topotecan	DCC0271/DCC0956
DC005141	Azacitidine; Carboplatin; Valproic Acid	DCC0048/DCC0245/DCC1443
DC005159	Candesartan; Enalapril	DCC0137/DCC0198
DC005160	Infliximab; Methotrexate	DCC0131/DCC1143
DC005184	Amlodipine; Hydrochlorothiazide	DCC0073/DCC0260
DC005208	Norethindrone; Triptorelin	DCC0180/DCC0834
DC005210	Dobutamine; Dopexamine; Epinephrine; Norepinephrine	DCC0166/DCC0990/DCC1259/DCC1412
DC005220	Edoxaban; LMWH	DCC1046/DCC1755
DC005246	Clarithromycin; Fluticasone Propionate	DCC0139/DCC0318
DC005250	Bupropion; Citalopram; Sertraline	DCC0306/DCC1207/DCC1498
DC005258	Ritonavir; Tipranavir	DCC0114/DCC1445
DC005259	Docetaxel; Pertuzumab; Trastuzumab	DCC0008/DCC0329/DCC1681
DC005263	Cyclosporine; Mycophenolate mofetil; Prednisolone	DCC0011/DCC0173/DCC0216
DC005268	Capecitabine; Cisplatin; Imatinib	DCC0117/DCC0148/DCC0295
DC005284	Clonazepam; Sertraline	DCC1488/DCC1498
DC005288	Bicarbonate; Lactate	DCC0793/DCC0907
DC005294	Atenolol; Losartan	DCC0060/DCC0169
DC005314	Cetuximab; Docetaxel; Oxaliplatin	DCC0001/DCC0120/DCC0329
DC005319	Capecitabine; Enzastaurin	DCC0295/DCC0634
DC005322	Fluticasone Propionate; GSK2190915	DCC0139/DCC0969
DC005323	Edoxaban; Heparin	DCC0296/DCC1046
DC005333	Amiloride; Amlodipine; Simvastatin; Telmisartan	DCC0073/DCC0142/DCC0157/DCC0247
DC005336	Cyclophosphamide; Prednisone; Rituximab; Vincristine	DCC0009/DCC0123/DCC0126/DCC0156
DC005339	Gliclazide; Metformin	DCC0057/DCC1505
DC005350	Cetuximab; Mitoxantrone	DCC0001/DCC1535
DC005353	Glimepiride; Insulin; Metformin; Rosiglitazone	DCC0027/DCC0057/DCC0082/DCC1124
DC005362	Bupropion; Escitalopram	DCC0306/DCC1524
DC005385	Albendazole; Ivermectin	DCC0118/DCC1330
DC005389	Posaconazole; Tolterodine	DCC0335/DCC1479
DC005396	Amlodipine; Losartan	DCC0073/DCC0169
DC005400	Amoxicillin; Clarithromycin; Metronidazole	DCC0235/DCC0285/DCC0318
DC005404	Cyclosporine; Infliximab	DCC0011/DCC1143
DC005412	Alprostadil; Papaverine; Phentolamine; Sildenafil	DCC0022/DCC1356/DCC1395/DCC1501
DC006192	Bevacizumab; Capecitabine; Trastuzumab	DCC0008/DCC0012/DCC0295
DC006200	Gefitinib; Sunitinib	DCC0050/DCC0336
DC006217	Rosiglitazone; Sulfonylurea	DCC0082/DCC0811
DC006255	Acetylcysteine; Prednisolone	DCC0216/DCC1662
DC006260	Epinephrine; Hydrocortisone; Methylprednisolone; Vasopressin	DCC0166/DCC0184/DCC1145/DCC1454
DC006269	Ezetimibe; Niacin	DCC0152/DCC0250
DC006275	Cytarabine; Daunorubicin	DCC0256/DCC1357
DC006321	Aspirin; Esomeprazole	DCC0240/DCC1377
DC006327	Busulfan; Cyclophosphamide; Cytarabine; Daunorubicin; Gemtuzumab ozogamicin; Sargramostim	DCC0123/DCC0256/DCC1121/DCC1138/DCC1357/DCC1471
DC006337	Olanzapine; Sertraline	DCC0059/DCC1498
DC006382	Oxymetazoline; Tetracaine hydrochloride	DCC0590/DCC1446
DC006391	Methylprednisolone; Prednisone; Rituximab	DCC0009/DCC0156/DCC1454
DC006406	Ribavirin; Sofosbuvir	DCC0203/DCC0545
DC006577	Fluorouracil; Irinotecan; Leucovorin; Sunitinib	DCC0128/DCC0162/DCC0189/DCC0336
